subject,student_group,rows
ela,ALL,4946
ela,EO,4933
ela,SED,4931
ela,SBA,4901
ela,SWD,4878
ela,WH,4875
ela,HI,4849
ela,EL,4588
ela,ELO,4490
ela,RFP,4297
ela,MR,4272
ela,HOM,3967
ela,CAA,3838
ela,AS,3740
ela,AI,3730
ela,AA,3711
ela,FOS,3526
ela,FI,3152
ela,PI,2777
ela,LTEL,1697
math,ALL,4946
math,EO,4933
math,SED,4931
math,SBA,4899
math,SWD,4876
math,WH,4876
math,HI,4851
math,EL,4596
math,ELO,4502
math,RFP,4298
math,MR,4272
math,HOM,3979
math,CAA,3819
math,AS,3745
math,AI,3729
math,AA,3713
math,FOS,3523
math,FI,3161
math,PI,2781
math,LTEL,1696
