source_file,source_sheet,school_year,academic_year,county_code,district_code,school_code,county_district_code_7,cds_code,district_cds_code,county_name,district_name,school_name,district_type,school_type,charter_school_y_n,charter_number,charter_funding_type,is_district_row,is_charter_row,total_enrollment,free_reduced_meal_program,foster,tribal_foster_youth,homeless,migrant_program,direct_certification,unduplicated_frpm_eligible_count,english_learner_el,calpads_unduplicated_pupil_count_upc,upc_percentage,upc_proportion,frpm_percentage,english_learner_percentage,foster_percentage,homeless_percentage,calpads_fall_1_certification_status_y_n,nslp_provision_status
cupc1920-k12.xlsx,LEA-Level CALPADS UPC Data,2019_20,2019-2020,01,10017,0000000,0110017,01100170000000,01100170000000,Alameda,Alameda County Office of Education,N/A,County Office of Education (COE),N/A,N/A,N/A,N/A,TRUE,FALSE,214,73,20,NA,15,0,118,171,44,199,92.99065420560747,0.9299065420560748,79.90654205607477,20.560747663551403,9.345794392523365,7.009345794392523,Y,N/A
cupc1920-k12.xlsx,LEA-Level CALPADS UPC Data,2019_20,2019-2020,01,10017,0112607,0110017,01100170112607,01100170000000,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,County Office of Education (COE),High Schools (Public),Yes,0811,Directly funded,FALSE,FALSE,412,276,4,NA,0,0,170,295,70,308,74.75728155339806,0.7475728155339806,71.60194174757281,16.990291262135923,0.970873786407767,0,Y,N/A
cupc1920-k12.xlsx,LEA-Level CALPADS UPC Data,2019_20,2019-2020,01,10017,0123968,0110017,01100170123968,01100170000000,Alameda,Alameda County Office of Education,Community School for Creative Education,County Office of Education (COE),Elementary Schools (Public),Yes,1284,Directly funded,FALSE,FALSE,261,203,2,NA,0,0,137,223,120,234,89.65517241379311,0.896551724137931,85.44061302681992,45.97701149425287,0.7662835249042146,0,Y,N/A
cupc1920-k12.xlsx,LEA-Level CALPADS UPC Data,2019_20,2019-2020,01,10017,0124172,0110017,01100170124172,01100170000000,Alameda,Alameda County Office of Education,Yu Ming Charter,County Office of Education (COE),Elementary Schools (Public),Yes,1296,Directly funded,FALSE,FALSE,487,77,0,NA,0,0,52,77,33,96,19.71252566735113,0.1971252566735113,15.811088295687885,6.776180698151951,0,0,Y,N/A
cupc1920-k12.xlsx,LEA-Level CALPADS UPC Data,2019_20,2019-2020,01,10017,0125567,0110017,01100170125567,01100170000000,Alameda,Alameda County Office of Education,Urban Montessori Charter,County Office of Education (COE),Elementary Schools (Public),Yes,1383,Directly funded,FALSE,FALSE,393,81,0,NA,3,0,85,132,71,165,41.98473282442748,0.4198473282442748,33.587786259541986,18.06615776081425,0,0.7633587786259542,Y,N/A
cupc1920-k12.xlsx,LEA-Level CALPADS UPC Data,2019_20,2019-2020,01,10017,0129403,0110017,01100170129403,01100170000000,Alameda,Alameda County Office of Education,Epic Charter,County Office of Education (COE),Intermediate/Middle Schools (Public),Yes,1632,Directly funded,FALSE,FALSE,246,196,3,NA,0,0,113,199,113,223,90.65040650406505,0.9065040650406504,80.89430894308943,45.9349593495935,1.2195121951219512,0,Y,N/A
cupc1920-k12.xlsx,LEA-Level CALPADS UPC Data,2019_20,2019-2020,01,10017,0131581,0110017,01100170131581,01100170000000,Alameda,Alameda County Office of Education,Oakland Unity Middle,County Office of Education (COE),Intermediate/Middle Schools (Public),Yes,1707,Directly funded,FALSE,FALSE,170,146,1,NA,0,0,73,146,72,153,90,0.9,85.88235294117646,42.35294117647059,0.5882352941176471,0,Y,N/A
cupc1920-k12.xlsx,LEA-Level CALPADS UPC Data,2019_20,2019-2020,01,10017,0136101,0110017,01100170136101,01100170000000,Alameda,Alameda County Office of Education,Connecting Waters Charter - East Bay,County Office of Education (COE),K-12 Schools (Public),Yes,1881,Directly funded,FALSE,FALSE,416,88,1,NA,1,0,50,105,16,116,27.884615384615383,0.27884615384615385,25.240384615384617,3.8461538461538463,0.2403846153846154,0.2403846153846154,Y,N/A
cupc1920-k12.xlsx,LEA-Level CALPADS UPC Data,2019_20,2019-2020,01,10017,0136226,0110017,01100170136226,01100170000000,Alameda,Alameda County Office of Education,Opportunity Academy,County Office of Education (COE),County Community,Yes,1888,Locally funded,FALSE,FALSE,125,0,6,NA,0,0,32,36,14,49,39.2,0.392,28.8,11.2,4.8,0,Y,N/A
cupc1920-k12.xlsx,LEA-Level CALPADS UPC Data,2019_20,2019-2020,01,10017,0137448,0110017,01100170137448,01100170000000,Alameda,Alameda County Office of Education,Aurum Preparatory Academy,County Office of Education (COE),Junior High Schools (Public),Yes,1908,Directly funded,FALSE,FALSE,112,88,0,NA,8,0,52,93,26,95,84.82142857142857,0.8482142857142857,83.03571428571429,23.214285714285715,0,7.142857142857143,Y,N/A
cupc1920-k12.xlsx,LEA-Level CALPADS UPC Data,2019_20,2019-2020,01,10017,0138867,0110017,01100170138867,01100170000000,Alameda,Alameda County Office of Education,Hayward Collegiate Charter,County Office of Education (COE),Elementary Schools (Public),Yes,2027,Directly funded,FALSE,FALSE,89,62,0,NA,0,0,21,63,32,66,74.15730337078652,0.7415730337078652,70.78651685393258,35.95505617977528,0,0,Y,N/A
cupc1920-k12.xlsx,LEA-Level CALPADS UPC Data,2019_20,2019-2020,01,10017,6001788,0110017,01100176001788,01100170000000,Alameda,Alameda County Office of Education,Cox Academy,County Office of Education (COE),Elementary Schools (Public),Yes,0740,Directly funded,FALSE,FALSE,585,468,1,NA,8,0,283,480,260,522,89.23076923076923,0.8923076923076924,82.05128205128206,44.44444444444444,0.17094017094017094,1.3675213675213675,Y,N/A
cupc1920-k12.xlsx,LEA-Level CALPADS UPC Data,2019_20,2019-2020,01,10017,6002000,0110017,01100176002000,01100170000000,Alameda,Alameda County Office of Education,Lazear Charter Academy,County Office of Education (COE),Elementary Schools (Public),Yes,1464,Directly funded,FALSE,FALSE,481,342,2,NA,5,6,186,379,225,418,86.9022869022869,0.8690228690228691,78.79417879417879,46.777546777546775,0.4158004158004158,1.0395010395010396,Y,N/A
