school_year,district_cds_code,county_district_code_7,county_code,district_code,county_name,district_name,district_type,finance_lea_type,grade_low,grade_high,assistance_status,district_city,district_zip,district_region,district_latitude,district_longitude,total_funded_ada,total_lcff_entitlement,lcff_base_grant_nss_allowance,total_lcff_supplemental_grant,total_lcff_concentration_grant,supplemental_concentration_grant,county_operations_grant,total_local_revenue_or_in_lieu_of_property_taxes,education_protection_account_entitlement,net_state_aid,additional_state_aid_for_msa_guarantee,total_lcff_entitlement_per_ada,supplemental_concentration_per_ada,supplemental_concentration_share,base_grant_share,upc_total_enrollment,upc_unduplicated_pupil_count,upc_percentage,upc_proportion,upc_unduplicated_frpm_eligible_count,upc_free_reduced_meal_program,upc_english_learner_el,upc_foster,upc_tribal_foster_youth,upc_homeless,upc_migrant_program,upc_direct_certification,frpm_percentage,english_learner_percentage,foster_percentage,homeless_percentage_lcff_upc,current_expense_total,current_expense_ada,current_expense_per_ada,current_expense_per_ada_calc,district_cumulative_enrollment,district_cumulative_enrollment_hse,homeless_student_enrollment,homeless_rate,temporarily_doubled_up,temporary_shelters,hotels_motels,temporarily_unsheltered,missing_unknown,temporarily_doubled_up_percent,temporary_shelters_percent,hotels_motels_percent,temporarily_unsheltered_percent,missing_unknown_percent,ela_current_denominator,ela_current_distance_from_standard,ela_prior_denominator,ela_prior_distance_from_standard,ela_distance_change,ela_status_level,ela_change_level,ela_color,ela_participation_rate_enrolled,ela_participation_rate_tested,ela_participation_rate,ela_participation_rate_loss_count,math_current_denominator,math_current_distance_from_standard,math_prior_denominator,math_prior_distance_from_standard,math_distance_change,math_status_level,math_change_level,math_color,math_participation_rate_enrolled,math_participation_rate_tested,math_participation_rate,math_participation_rate_loss_count,cohort_students,graduation_count,graduation_rate,met_uc_csu_grad_reqs_count,met_uc_csu_grad_reqs_rate,seal_of_biliteracy_count,seal_of_biliteracy_rate,golden_state_seal_merit_diploma_count,golden_state_seal_merit_diploma_rate,dropout_count,dropout_rate,still_enrolled_count,still_enrolled_rate,high_need_share,high_need_proportion,current_expense_per_pupil,lcff_entitlement_per_pupil,supplemental_concentration_per_pupil,has_lcff_funding,has_upc,has_finance,has_enrollment,has_homeless,has_ela,has_math,has_graduation
2019_20,01100170000000,0110017,01,10017,Alameda,Alameda County Office of Education,County Office of Education (COE),NA,KG,12,Differentiated Assistance,Hayward,94544,04,37.65848196,-122.09834714999998,276.97,19911404,3409509,1101889,505226,1607115,14894780,NA,NA,NA,NA,71890.1108423295,5802.487634039787,0.08071329374864776,0.17123398229476938,214,199,92.99065420560748,0.9299065420560748,171,73,44,20,NA,15,0,118,79.90654205607477,20.560747663551403,9.345794392523365,7.009345794392523,NA,NA,NA,NA,5037,5037,96,1.9058963668850504,23,58,5,8,2,24,60.4,5.2,8.3,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,345,185,53.6,87,47,0,0,40,21.6,107,31,52,15.1,92.99065420560748,0.9299065420560748,NA,71890.1108423295,5802.487634039787,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
2019_20,01611190000000,0161119,01,61119,Alameda,Alameda Unified,Unified,Unified,KG,12,General Assistance,Alameda,94501,04,37.78215496000001,-122.27010419,8976.94,83807923,77652579,5230677,0,5230677,0,NA,NA,NA,NA,9335.912125958288,582.679287151301,0.062412679049449776,0.9265541516880212,9372,2936,31.327358087921468,0.3132735808792147,2422,2370,1121,14,NA,48,0,1735,25.84293640631669,11.961160904822878,0.14938113529662825,0.5121638924455826,115661149.05,8975.2,12886.748935956855,12886.748935956855,11621,11621,108,0.9293520351088548,83,17,7,1,0,76.9,15.7,6.5,0.9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,905,810,89.5,534,65.9,48,5.9,430,53.1,58,6.4,16,1.8,31.327358087921468,0.3132735808792147,12886.748935956855,9335.912125958288,582.679287151301,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
2019_20,01611270000000,0161127,01,61127,Alameda,Albany City Unified,Unified,Unified,KG,12,General Assistance,Albany,94706,04,37.890276,-122.295755,3551.38,32399468,30599853,1771731,0,1771731,0,NA,NA,NA,NA,9123.064273606316,498.88522208268336,0.05468395345256904,0.944455415132125,3586,960,26.770775237032908,0.26770775237032907,635,590,507,1,NA,5,0,422,17.707752370329057,14.138315672058004,0.02788622420524261,0.13943112102621305,45832276.67,3484.19,13154.356298020486,13154.356298020488,3729,3729,8,0.2145347278090641,6,0,2,0,0,75,0,25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262,239,91.2,168,70.3,0,0,0,0,17,6.5,0,0,26.770775237032908,0.26770775237032907,13154.356298020486,9123.064273606316,498.88522208268336,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
2019_20,01611430000000,0161143,01,61143,Alameda,Berkeley Unified,Unified,Unified,KG,12,General Assistance,Berkeley,94702,04,37.86944396,-122.28779121,9426.03,93257945,81458141,5421853,0,5421853,0,NA,NA,NA,NA,9893.66095800671,575.2000577125258,0.05813824226986773,0.873471327295492,9844,3020,30.678585940674523,0.30678585940674524,2673,2615,813,21,NA,221,0,1625,27.15359609914669,8.258837870784234,0.2133279154815116,2.2450223486387646,161038718.72,9426.03,17084.46914766874,17084.46914766874,10058,10058,243,2.415987273811891,196,30,15,2,0,80.7,12.3,6.2,0.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,868,748,86.2,494,66,61,8.2,0,0,108,12.4,3,0.3,30.678585940674523,0.30678585940674524,17084.46914766874,9893.66095800671,575.2000577125258,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
2019_20,01611500000000,0161150,01,61150,Alameda,Castro Valley Unified,Unified,Unified,KG,12,General Assistance,Castro Valley,94546,04,37.708006960000006,-122.07180916,8976.77,82189801,77394812,4502831,0,4502831,0,NA,NA,NA,NA,9155.832331673864,501.6092648023732,0.05478576350367365,0.9416595618719165,9321,2619,28.097843579015127,0.28097843579015125,2036,2028,1067,13,NA,93,0,1290,21.84314987662268,11.447269606265422,0.1394700139470014,0.9977470228516252,105631014.06,8976.77,11767.151665911011,11767.151665911011,9524,9524,121,1.2704745905081898,92,9,7,13,0,76,7.4,5.8,10.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,769,731,95.1,461,63.1,78,10.7,313,42.8,22,2.9,1,0.1,28.097843579015127,0.28097843579015125,11767.151665911011,9155.832331673864,501.6092648023732,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
2019_20,01611680000000,0161168,01,61168,Alameda,Emery Unified,Unified,Unified,KG,12,General Assistance,Emeryville,94608,04,37.83658996,-122.28196920000002,689.71,7778480,5935314,946327,733604,1679931,0,NA,NA,NA,NA,11277.899406997143,2435.7063113482477,0.21597162941860107,0.7630429081260092,721,548,76.00554785020805,0.7600554785020804,507,503,155,0,NA,12,0,290,70.31900138696255,21.497919556171983,0,1.6643550624133148,12233161.72,688.6,17765.265349985475,17765.26534998548,774,774,13,1.6795865633074936,7,3,3,0,0,53.8,23.1,23.1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,58,98.3,0,0,0,0,0,0,0,0,1,1.7,76.00554785020805,0.7600554785020804,17765.265349985475,11277.899406997143,2435.7063113482477,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
2019_20,01611760000000,0161176,01,61176,Alameda,Fremont Unified,Unified,Unified,KG,12,Differentiated Assistance,Fremont,94538,04,37.50765796,-121.95448111,34010.5,312788862,292439740,16130976,0,16130976,0,NA,NA,NA,NA,9196.8322135811,474.2939974419664,0.051571452694501634,0.9349429456346818,35046,9410,26.8504251555099,0.268504251555099,6710,6657,4419,26,NA,202,70,3350,19.146264908976775,12.60914227015922,0.07418820978143012,0.5763853221480341,385359512.5799999,33934.99,11355.816299931132,11355.816299931132,36533,36533,272,0.7445323406235458,201,28,37,5,1,73.9,10.3,13.6,1.8,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2597,2366,91.1,1705,72.1,478,20.2,1187,50.2,170,6.5,0,0,26.8504251555099,0.268504251555099,11355.816299931132,9196.8322135811,474.2939974419664,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
2019_20,01611920000000,0161192,01,61192,Alameda,Hayward Unified,Unified,Unified,KG,12,Differentiated Assistance,Hayward,94544,04,37.65670396,-122.09371115,18710.669999999995,204468804,160006087,24781743,17952684,42734427,0,NA,NA,NA,NA,10927.925296101104,2283.9602750729937,0.20900218597649742,0.7825452287577327,19801,15217,76.84965405787587,0.7684965405787586,14004,13847,5954,57,NA,711,443,7089,70.72370082319075,30.06918842482703,0.2878642492803394,3.590727741023181,271195384.91,18710.9,14493.978638654473,14493.978638654477,23273,23273,749,3.2183216602930433,604,82,46,10,7,80.6,10.9,6.1,1.3,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1649,1390,84.3,705,50.7,146,10.5,446,32.1,145,8.8,85,5.2,76.84965405787587,0.7684965405787586,14493.978638654473,10927.925296101104,2283.9602750729937,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
2019_20,01612000000000,0161200,01,61200,Alameda,Livermore Valley Joint Unified,Unified,Unified,KG,12,Differentiated Assistance,Livermore,94551,04,37.68848998,-121.79180611,13195.12,121354342,113801250,6334178,0,6334178,0,NA,NA,NA,NA,9196.910827639307,480.0394388228375,0.05219572613232083,0.9377600185084436,13698,3712,27.09884654694116,0.2709884654694116,3284,3235,1451,20,NA,97,176,1966,23.974302817929622,10.592787268214336,0.1460067163089502,0.7081325740984086,156996424.81,13192.96,11900.015220996656,11900.015220996656,13886,13886,139,1.0010082097076192,64,41,31,3,0,46,29.5,22.3,2.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1140,1078,94.6,389,36.1,112,10.4,536,49.7,32,2.8,16,1.4,27.09884654694116,0.2709884654694116,11900.015220996656,9196.910827639307,480.0394388228375,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
2019_20,01612180000000,0161218,01,61218,Alameda,Mountain House Elementary,Elementary,Elementary,KG,08,General Assistance,Byron,94514,04,37.78729001,-121.57777208999998,15.14,184477,122839,18897,13463,32360,0,NA,NA,NA,NA,12184.742404227214,2137.384412153237,0.17541482135984432,0.6658770470031494,15,12,80,0.8,12,12,5,0,NA,0,0,5,80,33.333333333333336,0,0,490375.23,14.62,33541.39740082079,33541.397400820795,21,21,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,0.8,33541.39740082079,12184.742404227214,2137.384412153237,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
