source_file,source_sheet,school_year,county_code,district_code,school_code,county_district_code_7,cds_code,district_cds_code,district_name,lea_type,current_expense_total,current_expense_ada,current_expense_per_ada,current_expense_per_ada_calc,current_expense_per_ada_diff
currentexpense1920.xlsx,CDS,2019_20,01,61119,0000000,0161119,01611190000000,01611190000000,Alameda Unified,Unified,115661149.05,8975.2,12886.748935956857,12886.748935956857,0
currentexpense1920.xlsx,CDS,2019_20,01,61127,0000000,0161127,01611270000000,01611270000000,Albany City Unified,Unified,45832276.67,3484.19,13154.356298020486,13154.356298020488,-1.8189894035458565e-12
currentexpense1920.xlsx,CDS,2019_20,01,61143,0000000,0161143,01611430000000,01611430000000,Berkeley Unified,Unified,161038718.72,9426.03,17084.46914766874,17084.46914766874,0
currentexpense1920.xlsx,CDS,2019_20,01,61150,0000000,0161150,01611500000000,01611500000000,Castro Valley Unified,Unified,105631014.06,8976.77,11767.151665911013,11767.151665911013,0
currentexpense1920.xlsx,CDS,2019_20,01,61168,0000000,0161168,01611680000000,01611680000000,Emery Unified,Unified,12233161.72,688.6,17765.265349985475,17765.26534998548,-3.637978807091713e-12
currentexpense1920.xlsx,CDS,2019_20,01,61176,0000000,0161176,01611760000000,01611760000000,Fremont Unified,Unified,385359512.5799999,33934.99,11355.816299931132,11355.816299931132,0
currentexpense1920.xlsx,CDS,2019_20,01,61192,0000000,0161192,01611920000000,01611920000000,Hayward Unified,Unified,271195384.91,18710.9,14493.978638654473,14493.978638654475,-1.8189894035458565e-12
currentexpense1920.xlsx,CDS,2019_20,01,61200,0000000,0161200,01612000000000,01612000000000,Livermore Valley Joint Unified,Unified,156996424.81,13192.96,11900.015220996655,11900.015220996655,0
currentexpense1920.xlsx,CDS,2019_20,01,61218,0000000,0161218,01612180000000,01612180000000,Mountain House Elementary,Elementary,490375.23000000004,14.62,33541.39740082079,33541.397400820795,-7.275957614183426e-12
currentexpense1920.xlsx,CDS,2019_20,01,61234,0000000,0161234,01612340000000,01612340000000,Newark Unified,Unified,63379251.550000004,5482.67,11559.92455318303,11559.92455318303,0
currentexpense1920.xlsx,CDS,2019_20,01,61242,0000000,0161242,01612420000000,01612420000000,New Haven Unified,Unified,126320809.16999999,10418.379999999996,12124.803392657976,12124.80339265798,-3.637978807091713e-12
currentexpense1920.xlsx,CDS,2019_20,01,61259,0000000,0161259,01612590000000,01612590000000,Oakland Unified,Unified,575693493.1,33698.68,17083.56211875362,17083.562118753613,7.275957614183426e-12
currentexpense1920.xlsx,CDS,2019_20,01,61275,0000000,0161275,01612750000000,01612750000000,Piedmont City Unified,Unified,41673102.89,2495.68,16698.095464963462,16698.09546496346,3.637978807091713e-12
currentexpense1920.xlsx,CDS,2019_20,01,61291,0000000,0161291,01612910000000,01612910000000,San Leandro Unified,Unified,107989032.36999999,8613.44,12537.27109842293,12537.271098422927,3.637978807091713e-12
currentexpense1920.xlsx,CDS,2019_20,01,61309,0000000,0161309,01613090000000,01613090000000,San Lorenzo Unified,Unified,126046339.76000002,9331.92,13507.010321562982,13507.010321562982,0
currentexpense1920.xlsx,CDS,2019_20,01,75093,0000000,0175093,01750930000000,01750930000000,Dublin Unified,Unified,131688668.91000001,12193.58,10799.836381932131,10799.836381932133,-1.8189894035458565e-12
currentexpense1920.xlsx,CDS,2019_20,01,75101,0000000,0175101,01751010000000,01751010000000,Pleasanton Unified,Unified,171531093.37,14367.6,11938.74365725661,11938.743657256606,3.637978807091713e-12
currentexpense1920.xlsx,CDS,2019_20,01,75119,0000000,0175119,01751190000000,01751190000000,Sunol Glen Unified,Unified,3939633.04,279.06,14117.512506271052,14117.512506271052,0
currentexpense1920.xlsx,CDS,2019_20,02,61333,0000000,0261333,02613330000000,02613330000000,Alpine County Unified,Unified,3107275.88,65.7,47294.91445966514,47294.91445966514,0
currentexpense1920.xlsx,CDS,2019_20,03,73981,0000000,0373981,03739810000000,03739810000000,Amador County Unified,Unified,34019547.400000006,3723.58,9136.247213702944,9136.247213702944,0
currentexpense1920.xlsx,CDS,2019_20,04,61382,0000000,0461382,04613820000000,04613820000000,Bangor Union Elementary,Elementary,1307790.95,98.16999999999999,13321.696546806561,13321.696546806561,0
currentexpense1920.xlsx,CDS,2019_20,04,61408,0000000,0461408,04614080000000,04614080000000,Biggs Unified,Unified,7013011.590000001,562.7,12463.14481961969,12463.14481961969,0
currentexpense1920.xlsx,CDS,2019_20,04,61424,0000000,0461424,04614240000000,04614240000000,Chico Unified,Unified,144190505.67,11799.859999999999,12219.679358060179,12219.67935806018,-1.8189894035458565e-12
currentexpense1920.xlsx,CDS,2019_20,04,61432,0000000,0461432,04614320000000,04614320000000,Durham Unified,Unified,10940544.16,1003.71,10900.104771298484,10900.104771298482,1.8189894035458565e-12
currentexpense1920.xlsx,CDS,2019_20,04,61457,0000000,0461457,04614570000000,04614570000000,Golden Feather Union Elementary,Elementary,1458418.62,43.230000000000004,33736.262317834844,33736.26231783484,7.275957614183426e-12
currentexpense1920.xlsx,CDS,2019_20,04,61499,0000000,0461499,04614990000000,04614990000000,Manzanita Elementary,Elementary,3020737.61,284.58,10614.722081664208,10614.722081664208,0
currentexpense1920.xlsx,CDS,2019_20,04,61507,0000000,0461507,04615070000000,04615070000000,Oroville City Elementary,Elementary,28842073.459999997,2214.04,13026.89809578869,13026.898095788692,-1.8189894035458565e-12
currentexpense1920.xlsx,CDS,2019_20,04,61515,0000000,0461515,04615150000000,04615150000000,Oroville Union High,High,28110457.2,2048.56,13722.057054711602,13722.057054711602,0
currentexpense1920.xlsx,CDS,2019_20,04,61523,0000000,0461523,04615230000000,04615230000000,Palermo Union Elementary,Elementary,15340357.75,1266.24,12114.889554902704,12114.889554902704,0
currentexpense1920.xlsx,CDS,2019_20,04,61531,0000000,0461531,04615310000000,04615310000000,Paradise Unified,Unified,33902847.449999996,1597.1299999999999,21227.356226481246,21227.35622648125,-3.637978807091713e-12
currentexpense1920.xlsx,CDS,2019_20,04,61549,0000000,0461549,04615490000000,04615490000000,Thermalito Union Elementary,Elementary,19294353.52,1462.8,13190.014711512173,13190.014711512169,3.637978807091713e-12
currentexpense1920.xlsx,CDS,2019_20,04,73379,0000000,0473379,04733790000000,04733790000000,Pioneer Union Elementary,Elementary,1025623.8500000001,47.48,21601.17628475148,21601.176284751476,3.637978807091713e-12
currentexpense1920.xlsx,CDS,2019_20,04,75507,0000000,0475507,04755070000000,04755070000000,Gridley Unified,Unified,24983649.43,1983.49,12595.80306933738,12595.80306933738,0
currentexpense1920.xlsx,CDS,2019_20,05,61556,0000000,0561556,05615560000000,05615560000000,Bret Harte Union High,High,10697490.17,588.4399999999999,18179.40685541432,18179.406855414316,3.637978807091713e-12
currentexpense1920.xlsx,CDS,2019_20,05,61564,0000000,0561564,05615640000000,05615640000000,Calaveras Unified,Unified,29499477.14,2699.4900000000002,10927.796413396607,10927.796413396603,3.637978807091713e-12
currentexpense1920.xlsx,CDS,2019_20,05,61572,0000000,0561572,05615720000000,05615720000000,Mark Twain Union Elementary,Elementary,8052632.3100000005,734.92,10957.154942034509,10957.154942034509,0
currentexpense1920.xlsx,CDS,2019_20,05,61580,0000000,0561580,05615800000000,05615800000000,Vallecito Union,Elementary,7920940.03,553.7,14305.4723315875,14305.472331587502,-1.8189894035458565e-12
currentexpense1920.xlsx,CDS,2019_20,06,61598,0000000,0661598,06615980000000,06615980000000,Colusa Unified,Unified,15681895.619999997,1464.71,10706.484983375547,10706.484983375547,0
currentexpense1920.xlsx,CDS,2019_20,06,61606,0000000,0661606,06616060000000,06616060000000,Maxwell Unified,Unified,4284191.2,328.4,13045.649208282586,13045.649208282584,1.8189894035458565e-12
currentexpense1920.xlsx,CDS,2019_20,06,61614,0000000,0661614,06616140000000,06616140000000,Pierce Joint Unified,Unified,15155100.65,1400.48,10821.361711698844,10821.361711698846,-1.8189894035458565e-12
currentexpense1920.xlsx,CDS,2019_20,06,61622,0000000,0661622,06616220000000,06616220000000,Williams Unified,Unified,15067413.880000003,1258.6499999999999,11971.091153219719,11971.091153219722,-3.637978807091713e-12
currentexpense1920.xlsx,CDS,2019_20,07,61630,0000000,0761630,07616300000000,07616300000000,Acalanes Union High,High,80871225.78,5413.25,14939.495825982542,14939.495825982543,-1.8189894035458565e-12
currentexpense1920.xlsx,CDS,2019_20,07,61648,0000000,0761648,07616480000000,07616480000000,Antioch Unified,Unified,194822184.20999998,15148.06,12861.197025229632,12861.197025229632,0
currentexpense1920.xlsx,CDS,2019_20,07,61655,0000000,0761655,07616550000000,07616550000000,Brentwood Union Elementary,Elementary,95096748.44000001,8979.9,10589.95628459114,10589.956284591144,-3.637978807091713e-12
currentexpense1920.xlsx,CDS,2019_20,07,61663,0000000,0761663,07616630000000,07616630000000,Byron Union Elementary,Elementary,15931851.34,1384.45,11507.711611109105,11507.711611109104,1.8189894035458565e-12
currentexpense1920.xlsx,CDS,2019_20,07,61671,0000000,0761671,07616710000000,07616710000000,Canyon Elementary,Elementary,827595.26,65.8,12577.435562310033,12577.435562310031,1.8189894035458565e-12
currentexpense1920.xlsx,CDS,2019_20,07,61697,0000000,0761697,07616970000000,07616970000000,John Swett Unified,Unified,18749992.22,1326.99,14129.716290250868,14129.716290250868,0
currentexpense1920.xlsx,CDS,2019_20,07,61705,0000000,0761705,07617050000000,07617050000000,Knightsen Elementary,Elementary,6070635.49,583.0599999999998,10411.68231399856,10411.682313998563,-1.8189894035458565e-12
currentexpense1920.xlsx,CDS,2019_20,07,61713,0000000,0761713,07617130000000,07617130000000,Lafayette Elementary,Elementary,41916376.1,3435.46,12201.095661134172,12201.095661134172,0
currentexpense1920.xlsx,CDS,2019_20,07,61721,0000000,0761721,07617210000000,07617210000000,Liberty Union High,High,88791665.72000001,7860.29,11296.232800570973,11296.232800570973,0
currentexpense1920.xlsx,CDS,2019_20,07,61739,0000000,0761739,07617390000000,07617390000000,Martinez Unified,Unified,46208315.39,3970.1,11639.080977809124,11639.080977809124,0
currentexpense1920.xlsx,CDS,2019_20,07,61747,0000000,0761747,07617470000000,07617470000000,Moraga Elementary,Elementary,23547687.39,1808.08,13023.587114508207,13023.58711450821,-1.8189894035458565e-12
currentexpense1920.xlsx,CDS,2019_20,07,61754,0000000,0761754,07617540000000,07617540000000,Mt. Diablo Unified,Unified,355222050.07,29120.67,12198.278750797974,12198.278750797974,0
currentexpense1920.xlsx,CDS,2019_20,07,61762,0000000,0761762,07617620000000,07617620000000,Oakley Union Elementary,Elementary,55763337.79000001,4967.9000000000005,11224.730326697396,11224.730326697398,-1.8189894035458565e-12
currentexpense1920.xlsx,CDS,2019_20,07,61770,0000000,0761770,07617700000000,07617700000000,Orinda Union Elementary,Elementary,32175711.37,2482.88,12959.027971549169,12959.027971549169,0
currentexpense1920.xlsx,CDS,2019_20,07,61788,0000000,0761788,07617880000000,07617880000000,Pittsburg Unified,Unified,142015399.96,10770.3,13185.83511694196,13185.835116941962,-1.8189894035458565e-12
currentexpense1920.xlsx,CDS,2019_20,07,61796,0000000,0761796,07617960000000,07617960000000,West Contra Costa Unified,Unified,356122815.8999999,26555.3,13410.611663208472,13410.611663208472,0
currentexpense1920.xlsx,CDS,2019_20,07,61804,0000000,0761804,07618040000000,07618040000000,San Ramon Valley Unified,Unified,347507647.56,30948.609999999997,11228.538133376587,11228.538133376589,-1.8189894035458565e-12
currentexpense1920.xlsx,CDS,2019_20,07,61812,0000000,0761812,07618120000000,07618120000000,Walnut Creek Elementary,Elementary,38861603.67,3444.4100000000003,11282.513890622777,11282.513890622777,0
currentexpense1920.xlsx,CDS,2019_20,08,61820,0000000,0861820,08618200000000,08618200000000,Del Norte County Unified,Unified,45363595.330000006,3450.7,13146.200866490857,13146.200866490859,-1.8189894035458565e-12
currentexpense1920.xlsx,CDS,2019_20,09,61838,0000000,0961838,09618380000000,09618380000000,Buckeye Union Elementary,Elementary,47138928.120000005,4528.72,10408.88553940186,10408.885539401863,-3.637978807091713e-12
currentexpense1920.xlsx,CDS,2019_20,09,61846,0000000,0961846,09618460000000,09618460000000,Camino Union Elementary,Elementary,4803552.67,421.71,11390.65393279742,11390.65393279742,0
currentexpense1920.xlsx,CDS,2019_20,09,61853,0000000,0961853,09618530000000,09618530000000,El Dorado Union High,High,75808067.76,6469.929999999999,11716.984227031824,11716.984227031824,0
currentexpense1920.xlsx,CDS,2019_20,09,61879,0000000,0961879,09618790000000,09618790000000,Gold Oak Union Elementary,Elementary,4675954.74,444.98999999999995,10507.999595496529,10507.999595496529,0
currentexpense1920.xlsx,CDS,2019_20,09,61887,0000000,0961887,09618870000000,09618870000000,Gold Trail Union Elementary,Elementary,6701711.100000001,624.09,10738.372830841705,10738.372830841707,-1.8189894035458565e-12
currentexpense1920.xlsx,CDS,2019_20,09,61895,0000000,0961895,09618950000000,09618950000000,Indian Diggings Elementary,Elementary,305784.27,19.03,16068.537572254336,16068.537572254336,0
currentexpense1920.xlsx,CDS,2019_20,09,61903,0000000,0961903,09619030000000,09619030000000,Lake Tahoe Unified,Unified,46856153.09000001,3630.98,12904.547282001005,12904.547282001005,0
currentexpense1920.xlsx,CDS,2019_20,09,61911,0000000,0961911,09619110000000,09619110000000,Latrobe,Elementary,2262739.64,145.48,15553.613142700031,15553.61314270003,1.8189894035458565e-12
