school_year,lea_type,rows
2019_20,Elementary,518
2019_20,Unified,344
2019_20,High,71
2019_20,Common Admin,5
2020_21,Elementary,517
2020_21,Unified,344
2020_21,High,71
2020_21,Common Admin,5
2021_22,Elementary,514
2021_22,Unified,345
2021_22,High,71
2021_22,Common Admin,5
2022_23,Elementary,513
2022_23,Unified,345
2022_23,High,71
2022_23,Common Admin,5
2023_24,Elementary,512
2023_24,Unified,345
2023_24,High,71
2023_24,Common Admin,5
2024_25,Elementary,511
2024_25,Unified,345
2024_25,High,71
2024_25,Common Admin,5
