source_file,school_year,academic_year,county_code,district_code,school_code,county_district_code_7,cds_code,district_cds_code,county_name,district_name,reporting_category,cohort_students,graduation_count,graduation_rate,met_uc_csu_grad_reqs_count,met_uc_csu_grad_reqs_rate,seal_of_biliteracy_count,seal_of_biliteracy_rate,golden_state_seal_merit_diploma_count,golden_state_seal_merit_diploma_rate,dropout_count,dropout_rate,still_enrolled_count,still_enrolled_rate
acgr20.txt,2019_20,2019-20,01,10017,0000000,0110017,01100170000000,01100170000000,Alameda,Alameda County Office of Education,TA,345,185,53.6,87,47,0,0,40,21.6,107,31,52,15.1
acgr20.txt,2019_20,2019-20,01,31609,0000000,0131609,01316090000000,01316090000000,Alameda,California School for the Blind (State Special Schl),TA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
acgr20.txt,2019_20,2019-20,01,31617,0000000,0131617,01316170000000,01316170000000,Alameda,California School for the Deaf-Fremont (State Special Schl),TA,45,27,60,0,0,3,11.1,7,25.9,2,4.4,15,33.3
acgr20.txt,2019_20,2019-20,01,61119,0000000,0161119,01611190000000,01611190000000,Alameda,Alameda Unified,TA,905,810,89.5,534,65.9,48,5.9,430,53.1,58,6.4,16,1.8
acgr20.txt,2019_20,2019-20,01,61127,0000000,0161127,01611270000000,01611270000000,Alameda,Albany City Unified,TA,262,239,91.2,168,70.3,0,0,0,0,17,6.5,0,0
acgr20.txt,2019_20,2019-20,01,61143,0000000,0161143,01611430000000,01611430000000,Alameda,Berkeley Unified,TA,868,748,86.2,494,66,61,8.2,0,0,108,12.4,3,0.3
acgr20.txt,2019_20,2019-20,01,61150,0000000,0161150,01611500000000,01611500000000,Alameda,Castro Valley Unified,TA,769,731,95.1,461,63.1,78,10.7,313,42.8,22,2.9,1,0.1
acgr20.txt,2019_20,2019-20,01,61168,0000000,0161168,01611680000000,01611680000000,Alameda,Emery Unified,TA,59,58,98.3,0,0,0,0,0,0,0,0,1,1.7
acgr20.txt,2019_20,2019-20,01,61176,0000000,0161176,01611760000000,01611760000000,Alameda,Fremont Unified,TA,2597,2366,91.1,1705,72.1,478,20.2,1187,50.2,170,6.5,0,0
acgr20.txt,2019_20,2019-20,01,61192,0000000,0161192,01611920000000,01611920000000,Alameda,Hayward Unified,TA,1649,1390,84.3,705,50.7,146,10.5,446,32.1,145,8.8,85,5.2
acgr20.txt,2019_20,2019-20,01,61200,0000000,0161200,01612000000000,01612000000000,Alameda,Livermore Valley Joint Unified,TA,1140,1078,94.6,389,36.1,112,10.4,536,49.7,32,2.8,16,1.4
acgr20.txt,2019_20,2019-20,01,61234,0000000,0161234,01612340000000,01612340000000,Alameda,Newark Unified,TA,467,407,87.2,145,35.6,0,0,0,0,44,9.4,10,2.1
acgr20.txt,2019_20,2019-20,01,61242,0000000,0161242,01612420000000,01612420000000,Alameda,New Haven Unified,TA,973,883,90.8,430,48.7,49,5.5,257,29.1,28,2.9,36,3.7
acgr20.txt,2019_20,2019-20,01,61259,0000000,0161259,01612590000000,01612590000000,Alameda,Oakland Unified,TA,3621,2771,76.5,1712,61.8,152,5.5,86,3.1,407,11.2,344,9.5
acgr20.txt,2019_20,2019-20,01,61275,0000000,0161275,01612750000000,01612750000000,Alameda,Piedmont City Unified,TA,221,206,93.2,188,91.3,46,22.3,109,52.9,12,5.4,0,0
acgr20.txt,2019_20,2019-20,01,61291,0000000,0161291,01612910000000,01612910000000,Alameda,San Leandro Unified,TA,715,635,88.8,0,0,49,7.7,108,17,40,5.6,24,3.4
acgr20.txt,2019_20,2019-20,01,61309,0000000,0161309,01613090000000,01613090000000,Alameda,San Lorenzo Unified,TA,986,892,90.5,505,56.6,40,4.5,125,14,45,4.6,33,3.3
acgr20.txt,2019_20,2019-20,01,75093,0000000,0175093,01750930000000,01750930000000,Alameda,Dublin Unified,TA,770,733,95.2,475,64.8,238,32.5,453,61.8,20,2.6,4,0.5
acgr20.txt,2019_20,2019-20,01,75101,0000000,0175101,01751010000000,01751010000000,Alameda,Pleasanton Unified,TA,1247,1212,97.2,885,73,391,32.3,712,58.7,11,0.9,10,0.8
acgr20.txt,2019_20,2019-20,03,10033,0000000,0310033,03100330000000,03100330000000,Amador,Amador County Office of Education,TA,26,15,57.7,0,0,0,0,0,0,2,7.7,3,11.5
acgr20.txt,2019_20,2019-20,03,73981,0000000,0373981,03739810000000,03739810000000,Amador,Amador County Unified,TA,315,292,92.7,79,27.1,17,5.8,72,24.7,6,1.9,2,0.6
acgr20.txt,2019_20,2019-20,04,10041,0000000,0410041,04100410000000,04100410000000,Butte,Butte County Office of Education,TA,210,143,68.1,34,23.8,1,0.7,34,23.8,38,18.1,25,11.9
acgr20.txt,2019_20,2019-20,04,61408,0000000,0461408,04614080000000,04614080000000,Butte,Biggs Unified,TA,47,41,87.2,7,17.1,0,0,0,0,5,10.6,0,0
