source_file,school_year,academic_year,county_code,district_code,school_code,county_district_code_7,cds_code,district_cds_code,county_name,district_name,district_cumulative_enrollment_hse,homeless_student_enrollment,homeless_rate,temporarily_doubled_up,temporary_shelters,hotels_motels,temporarily_unsheltered,missing_unknown,temporarily_doubled_up_percent,temporary_shelters_percent,hotels_motels_percent,temporarily_unsheltered_percent,missing_unknown_percent
hse1920.txt,2019_20,2019-20,01,10017,0000000,0110017,01100170000000,01100170000000,Alameda,Alameda County Office of Education,5037,96,1.9058963668850506,23,58,5,8,2,24,60.4,5.2,8.3,2.1
hse1920.txt,2019_20,2019-20,01,61119,0000000,0161119,01611190000000,01611190000000,Alameda,Alameda Unified,11621,108,0.9293520351088547,83,17,7,1,0,76.9,15.7,6.5,0.9,0
hse1920.txt,2019_20,2019-20,01,61127,0000000,0161127,01611270000000,01611270000000,Alameda,Albany City Unified,3729,8,0.2145347278090641,6,0,2,0,0,75,0,25,0,0
hse1920.txt,2019_20,2019-20,01,61143,0000000,0161143,01611430000000,01611430000000,Alameda,Berkeley Unified,10058,243,2.415987273811891,196,30,15,2,0,80.7,12.3,6.2,0.8,0
hse1920.txt,2019_20,2019-20,01,31609,0000000,0131609,01316090000000,01316090000000,Alameda,California School for the Blind (State Special Schl),74,0,0,0,0,0,0,0,0,0,0,0,0
hse1920.txt,2019_20,2019-20,01,31617,0000000,0131617,01316170000000,01316170000000,Alameda,California School for the Deaf-Fremont (State Special Schl),371,3,0.8086253369272237,0,1,2,0,0,0,33.3,66.7,0,0
hse1920.txt,2019_20,2019-20,01,61150,0000000,0161150,01611500000000,01611500000000,Alameda,Castro Valley Unified,9524,121,1.2704745905081898,92,9,7,13,0,76,7.4,5.8,10.7,0
hse1920.txt,2019_20,2019-20,01,75093,0000000,0175093,01750930000000,01750930000000,Alameda,Dublin Unified,12892,22,0.17064846416382254,17,3,2,0,0,77.3,13.6,9.1,0,0
hse1920.txt,2019_20,2019-20,01,61168,0000000,0161168,01611680000000,01611680000000,Alameda,Emery Unified,774,13,1.6795865633074936,7,3,3,0,0,53.8,23.1,23.1,0,0
hse1920.txt,2019_20,2019-20,01,61176,0000000,0161176,01611760000000,01611760000000,Alameda,Fremont Unified,36533,272,0.7445323406235458,201,28,37,5,1,73.9,10.3,13.6,1.8,0.4
hse1920.txt,2019_20,2019-20,01,61192,0000000,0161192,01611920000000,01611920000000,Alameda,Hayward Unified,23273,749,3.2183216602930433,604,82,46,10,7,80.6,10.9,6.1,1.3,0.9
hse1920.txt,2019_20,2019-20,01,61200,0000000,0161200,01612000000000,01612000000000,Alameda,Livermore Valley Joint Unified,13886,139,1.0010082097076192,64,41,31,3,0,46,29.5,22.3,2.2,0
hse1920.txt,2019_20,2019-20,01,61218,0000000,0161218,01612180000000,01612180000000,Alameda,Mountain House Elementary,21,0,0,0,0,0,0,0,0,0,0,0,0
hse1920.txt,2019_20,2019-20,01,61242,0000000,0161242,01612420000000,01612420000000,Alameda,New Haven Unified,11407,131,1.1484176382922766,92,11,25,3,0,70.2,8.4,19.1,2.3,0
hse1920.txt,2019_20,2019-20,01,61234,0000000,0161234,01612340000000,01612340000000,Alameda,Newark Unified,5873,296,5.040013621658437,253,17,22,4,0,85.5,5.7,7.4,1.4,0
hse1920.txt,2019_20,2019-20,01,61259,0000000,0161259,01612590000000,01612590000000,Alameda,Oakland Unified,52102,1231,2.3626732179186978,1071,51,33,76,0,87,4.1,2.7,6.2,0
hse1920.txt,2019_20,2019-20,01,61275,0000000,0161275,01612750000000,01612750000000,Alameda,Piedmont City Unified,2599,1,0.038476337052712584,1,0,0,0,0,100,0,0,0,0
hse1920.txt,2019_20,2019-20,01,75101,0000000,0175101,01751010000000,01751010000000,Alameda,Pleasanton Unified,15313,4,0.026121596029517403,3,0,1,0,0,75,0,25,0,0
hse1920.txt,2019_20,2019-20,01,61291,0000000,0161291,01612910000000,01612910000000,Alameda,San Leandro Unified,9464,169,1.7857142857142858,105,14,27,23,0,62.1,8.3,16,13.6,0
hse1920.txt,2019_20,2019-20,01,61309,0000000,0161309,01613090000000,01613090000000,Alameda,San Lorenzo Unified,11287,252,2.232657039071498,178,14,9,51,0,70.6,5.6,3.6,20.2,0
hse1920.txt,2019_20,2019-20,01,77180,0000000,0177180,01771800000000,01771800000000,Alameda,SBE - Latitude 37.8 High,105,0,0,0,0,0,0,0,0,0,0,0,0
hse1920.txt,2019_20,2019-20,01,75119,0000000,0175119,01751190000000,01751190000000,Alameda,Sunol Glen Unified,295,0,0,0,0,0,0,0,0,0,0,0,0
hse1920.txt,2019_20,2019-20,02,61333,0000000,0261333,02613330000000,02613330000000,Alpine,Alpine County Unified,84,24,28.571428571428573,16,8,0,0,0,66.7,33.3,0,0,0
hse1920.txt,2019_20,2019-20,03,10033,0000000,0310033,03100330000000,03100330000000,Amador,Amador County Office of Education,228,14,6.140350877192983,4,2,5,2,1,28.6,14.3,35.7,14.3,7.1
hse1920.txt,2019_20,2019-20,03,73981,0000000,0373981,03739810000000,03739810000000,Amador,Amador County Unified,4159,151,3.6306804520317386,116,14,12,9,0,76.8,9.3,7.9,6,0
hse1920.txt,2019_20,2019-20,04,61382,0000000,0461382,04613820000000,04613820000000,Butte,Bangor Union Elementary,113,5,4.424778761061947,5,0,0,0,0,100,0,0,0,0
hse1920.txt,2019_20,2019-20,04,61408,0000000,0461408,04614080000000,04614080000000,Butte,Biggs Unified,635,33,5.196850393700787,32,0,0,1,0,97,0,0,3,0
