dataset,school_year,rows
lcff_summary_all_leas,2019_20,2320
lcff_summary_all_leas,2020_21,2288
lcff_summary_all_leas,2021_22,2281
lcff_summary_all_leas,2022_23,2271
lcff_summary_all_leas,2023_24,2266
lcff_summary_all_leas,2024_25,2264
lcff_summary_district_only,2019_20,1001
lcff_summary_district_only,2020_21,1000
lcff_summary_district_only,2021_22,998
lcff_summary_district_only,2022_23,997
lcff_summary_district_only,2023_24,996
lcff_summary_district_only,2024_25,995
calpads_upc_all_leas,2019_20,2288
calpads_upc_all_leas,2020_21,2279
calpads_upc_all_leas,2021_22,2274
calpads_upc_all_leas,2022_23,2266
calpads_upc_all_leas,2023_24,2260
calpads_upc_all_leas,2024_25,2255
calpads_upc_district_only,2019_20,1001
calpads_upc_district_only,2020_21,1001
calpads_upc_district_only,2021_22,999
calpads_upc_district_only,2022_23,998
calpads_upc_district_only,2023_24,996
calpads_upc_district_only,2024_25,996
