source_file,source_sheet,subject,school_year,reporting_year,county_code,district_code,school_code,county_district_code_7,cds_code,district_cds_code,county_name,district_name,student_group,current_denominator,current_distance_from_standard,prior_denominator,prior_distance_from_standard,distance_change,status_level,change_level,color,box,current_n_size_met,prior_n_size_met,accountability_met,participation_rate_enrolled,participation_rate_tested,participation_rate,participation_rate_loss_count,denominator_without_pr_loss,status_without_pr_loss
eladownload2019.xlsx,Sheet1,ela,2018_19,2019,01,10017,0000000,0110017,01100170000000,01100170000000,Alameda,Alameda County Office of Education,ALL,5,NA,20,-157,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
eladownload2019.xlsx,Sheet1,ela,2018_19,2019,01,61119,0000000,0161119,01611190000000,01611190000000,Alameda,Alameda Unified,ALL,4515,40.5,4577,36.5,4,4,4,4,90,NA,NA,NA,NA,NA,NA,NA,NA,NA
eladownload2019.xlsx,Sheet1,ela,2018_19,2019,01,61127,0000000,0161127,01611270000000,01611270000000,Alameda,Albany City Unified,ALL,1744,65.2,1900,57.5,7.7,5,4,5,40,NA,NA,NA,NA,NA,NA,NA,NA,NA
eladownload2019.xlsx,Sheet1,ela,2018_19,2019,01,61143,0000000,0161143,01611430000000,01611430000000,Alameda,Berkeley Unified,ALL,4557,36.2,4775,31.9,4.4,4,4,4,90,NA,NA,NA,NA,NA,NA,NA,NA,NA
eladownload2019.xlsx,Sheet1,ela,2018_19,2019,01,61150,0000000,0161150,01611500000000,01611500000000,Alameda,Castro Valley Unified,ALL,4791,37.2,4721,34.1,3.2,4,4,4,90,NA,NA,NA,NA,NA,NA,NA,NA,NA
eladownload2019.xlsx,Sheet1,ela,2018_19,2019,01,61168,0000000,0161168,01611680000000,01611680000000,Alameda,Emery Unified,ALL,372,-36.2,326,-51.2,14.9,2,4,3,190,NA,NA,NA,NA,NA,NA,NA,NA,NA
eladownload2019.xlsx,Sheet1,ela,2018_19,2019,01,61176,0000000,0161176,01611760000000,01611760000000,Alameda,Fremont Unified,ALL,17822,72.9,17889,67.2,5.6,5,4,5,40,NA,NA,NA,NA,NA,NA,NA,NA,NA
eladownload2019.xlsx,Sheet1,ela,2018_19,2019,01,61192,0000000,0161192,01611920000000,01611920000000,Alameda,Hayward Unified,ALL,10216,-34.3,10442,-35,0.7,2,3,2,180,NA,NA,NA,NA,NA,NA,NA,NA,NA
eladownload2019.xlsx,Sheet1,ela,2018_19,2019,01,61200,0000000,0161200,01612000000000,01612000000000,Alameda,Livermore Valley Joint Unified,ALL,6908,25.8,6877,22.5,3.4,4,4,4,90,NA,NA,NA,NA,NA,NA,NA,NA,NA
eladownload2019.xlsx,Sheet1,ela,2018_19,2019,01,61218,0000000,0161218,01612180000000,01612180000000,Alameda,Mountain House Elementary,ALL,10,NA,10,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
