dataset,subject,school_year,rows
academic_indicator_district_long,ela,2018_19,15911
academic_indicator_district_long,ela,2021_22,16095
academic_indicator_district_long,ela,2022_23,16103
academic_indicator_district_long,ela,2023_24,17018
academic_indicator_district_long,ela,2024_25,16971
academic_indicator_district_long,math,2018_19,15903
academic_indicator_district_long,math,2021_22,16097
academic_indicator_district_long,math,2022_23,16110
academic_indicator_district_long,math,2023_24,17033
academic_indicator_district_long,math,2024_25,16983
academic_indicator_district_total,ela,2018_19,991
academic_indicator_district_total,ela,2021_22,988
academic_indicator_district_total,ela,2022_23,988
academic_indicator_district_total,ela,2023_24,990
academic_indicator_district_total,ela,2024_25,989
academic_indicator_district_total,math,2018_19,991
academic_indicator_district_total,math,2021_22,988
academic_indicator_district_total,math,2022_23,988
academic_indicator_district_total,math,2023_24,990
academic_indicator_district_total,math,2024_25,989
