dataset,school_year,rows
graduation_outcomes_district_long,2019_20,9623
graduation_outcomes_district_long,2020_21,9681
graduation_outcomes_district_long,2021_22,9704
graduation_outcomes_district_long,2022_23,9761
graduation_outcomes_district_long,2023_24,9761
graduation_outcomes_district_long,2024_25,9766
graduation_outcomes_district_total,2019_20,548
graduation_outcomes_district_total,2020_21,555
graduation_outcomes_district_total,2021_22,553
graduation_outcomes_district_total,2022_23,550
graduation_outcomes_district_total,2023_24,550
graduation_outcomes_district_total,2024_25,550
