source_file,school_year,academic_year,county_code,district_code,school_code,county_district_code_7,cds_code,district_cds_code,county_name,district_name,district_cumulative_enrollment
cenroll1920.txt,2019_20,2019-20,01,10017,0000000,0110017,01100170000000,01100170000000,Alameda,Alameda County Office of Education,5037
cenroll1920.txt,2019_20,2019-20,01,61119,0000000,0161119,01611190000000,01611190000000,Alameda,Alameda Unified,11621
cenroll1920.txt,2019_20,2019-20,01,61127,0000000,0161127,01611270000000,01611270000000,Alameda,Albany City Unified,3729
cenroll1920.txt,2019_20,2019-20,01,61143,0000000,0161143,01611430000000,01611430000000,Alameda,Berkeley Unified,10058
cenroll1920.txt,2019_20,2019-20,01,31609,0000000,0131609,01316090000000,01316090000000,Alameda,California School for the Blind (State Special Schl),74
cenroll1920.txt,2019_20,2019-20,01,31617,0000000,0131617,01316170000000,01316170000000,Alameda,California School for the Deaf-Fremont (State Special Schl),371
cenroll1920.txt,2019_20,2019-20,01,61150,0000000,0161150,01611500000000,01611500000000,Alameda,Castro Valley Unified,9524
cenroll1920.txt,2019_20,2019-20,01,75093,0000000,0175093,01750930000000,01750930000000,Alameda,Dublin Unified,12892
cenroll1920.txt,2019_20,2019-20,01,61168,0000000,0161168,01611680000000,01611680000000,Alameda,Emery Unified,774
cenroll1920.txt,2019_20,2019-20,01,61176,0000000,0161176,01611760000000,01611760000000,Alameda,Fremont Unified,36533
cenroll1920.txt,2019_20,2019-20,01,61192,0000000,0161192,01611920000000,01611920000000,Alameda,Hayward Unified,23273
cenroll1920.txt,2019_20,2019-20,01,61200,0000000,0161200,01612000000000,01612000000000,Alameda,Livermore Valley Joint Unified,13886
cenroll1920.txt,2019_20,2019-20,01,61218,0000000,0161218,01612180000000,01612180000000,Alameda,Mountain House Elementary,21
cenroll1920.txt,2019_20,2019-20,01,61242,0000000,0161242,01612420000000,01612420000000,Alameda,New Haven Unified,11407
cenroll1920.txt,2019_20,2019-20,01,61234,0000000,0161234,01612340000000,01612340000000,Alameda,Newark Unified,5873
cenroll1920.txt,2019_20,2019-20,01,61259,0000000,0161259,01612590000000,01612590000000,Alameda,Oakland Unified,52102
cenroll1920.txt,2019_20,2019-20,01,61275,0000000,0161275,01612750000000,01612750000000,Alameda,Piedmont City Unified,2599
cenroll1920.txt,2019_20,2019-20,01,75101,0000000,0175101,01751010000000,01751010000000,Alameda,Pleasanton Unified,15313
cenroll1920.txt,2019_20,2019-20,01,61291,0000000,0161291,01612910000000,01612910000000,Alameda,San Leandro Unified,9464
cenroll1920.txt,2019_20,2019-20,01,61309,0000000,0161309,01613090000000,01613090000000,Alameda,San Lorenzo Unified,11287
cenroll1920.txt,2019_20,2019-20,01,77180,0000000,0177180,01771800000000,01771800000000,Alameda,SBE - Latitude 37.8 High,105
cenroll1920.txt,2019_20,2019-20,01,75119,0000000,0175119,01751190000000,01751190000000,Alameda,Sunol Glen Unified,295
cenroll1920.txt,2019_20,2019-20,02,61333,0000000,0261333,02613330000000,02613330000000,Alpine,Alpine County Unified,84
cenroll1920.txt,2019_20,2019-20,03,10033,0000000,0310033,03100330000000,03100330000000,Amador,Amador County Office of Education,228
cenroll1920.txt,2019_20,2019-20,03,73981,0000000,0373981,03739810000000,03739810000000,Amador,Amador County Unified,4159
cenroll1920.txt,2019_20,2019-20,04,61382,0000000,0461382,04613820000000,04613820000000,Butte,Bangor Union Elementary,113
cenroll1920.txt,2019_20,2019-20,04,61408,0000000,0461408,04614080000000,04614080000000,Butte,Biggs Unified,635
cenroll1920.txt,2019_20,2019-20,04,10041,0000000,0410041,04100410000000,04100410000000,Butte,Butte County Office of Education,1691
cenroll1920.txt,2019_20,2019-20,04,61424,0000000,0461424,04614240000000,04614240000000,Butte,Chico Unified,14989
cenroll1920.txt,2019_20,2019-20,04,61432,0000000,0461432,04614320000000,04614320000000,Butte,Durham Unified,1095
