dataset,reporting_category,rows
cumulative_enrollment_district_long,GF,6125
cumulative_enrollment_district_long,GM,6125
cumulative_enrollment_district_long,GX,2695
cumulative_enrollment_district_long,GZ,4
cumulative_enrollment_district_long,RA,6126
cumulative_enrollment_district_long,RB,6126
cumulative_enrollment_district_long,RD,6126
cumulative_enrollment_district_long,RF,6126
cumulative_enrollment_district_long,RH,6126
cumulative_enrollment_district_long,RI,6126
cumulative_enrollment_district_long,RP,6126
cumulative_enrollment_district_long,RT,6126
cumulative_enrollment_district_long,RW,6126
cumulative_enrollment_district_long,SD,6100
cumulative_enrollment_district_long,SE,5844
cumulative_enrollment_district_long,SF,5144
cumulative_enrollment_district_long,SH,5356
cumulative_enrollment_district_long,SM,2585
cumulative_enrollment_district_long,SS,6125
cumulative_enrollment_district_long,TA,6126
homeless_enrollment_district_long,GR01,5575
homeless_enrollment_district_long,GR02,5585
homeless_enrollment_district_long,GR03,5578
homeless_enrollment_district_long,GR04,5586
homeless_enrollment_district_long,GR05,5603
homeless_enrollment_district_long,GR06,5630
homeless_enrollment_district_long,GR07,5444
homeless_enrollment_district_long,GR08,5489
homeless_enrollment_district_long,GR09,3384
homeless_enrollment_district_long,GR10,3327
homeless_enrollment_district_long,GR11,3322
homeless_enrollment_district_long,GR12,3317
homeless_enrollment_district_long,GRKN,5575
homeless_enrollment_district_long,GRTK,1733
homeless_enrollment_district_long,RA,6133
homeless_enrollment_district_long,RB,6133
homeless_enrollment_district_long,RD,6133
homeless_enrollment_district_long,RF,6133
homeless_enrollment_district_long,RH,6133
homeless_enrollment_district_long,RI,6133
homeless_enrollment_district_long,RP,6133
homeless_enrollment_district_long,RT,6133
homeless_enrollment_district_long,RW,6133
homeless_enrollment_district_long,SD,6103
homeless_enrollment_district_long,SE,5847
homeless_enrollment_district_long,SM,2586
homeless_enrollment_district_long,TA,6133
