dataset,school_year,rows
cumulative_enrollment_district_total,2019_20,1033
cumulative_enrollment_district_total,2020_21,1029
cumulative_enrollment_district_total,2021_22,1020
cumulative_enrollment_district_total,2022_23,1019
cumulative_enrollment_district_total,2023_24,1010
cumulative_enrollment_district_total,2024_25,1015
homeless_enrollment_district_total,2019_20,1033
homeless_enrollment_district_total,2020_21,1029
homeless_enrollment_district_total,2021_22,1020
homeless_enrollment_district_total,2022_23,1019
homeless_enrollment_district_total,2023_24,1017
homeless_enrollment_district_total,2024_25,1015
