city_name,lon,lat,total_population,median_rent,median_income,median_home_value,rent_burden_pct,rent_to_income,col_tier,vs_state
Los Altos,-122.09645459489903,37.36833565244588,30736,3501,250001,2000001,22.8,0.16804732781068873,Highest COL,Higher than state median
Foster City,-122.26618967345128,37.55516248133268,32964,3501,193633,1774500,25.7,0.2169671491946104,Highest COL,Higher than state median
Rossmoor,-118.08028933756691,33.78869093568785,11895,3501,200833,1234700,24.6,0.20918872894394847,Highest COL,Higher than state median
Coto de Caza,-117.58599201198277,33.59592481067713,15363,3501,232470,1419400,28.7,0.18072009291521487,Highest COL,Higher than state median
Piedmont,-122.23007722675032,37.82253889581572,11012,3501,250001,2000001,17.8,0.16804732781068873,Highest COL,Higher than state median
Clayton,-121.93009889160085,37.94033647459619,10962,3501,172226,1017300,32.9,0.24393529432257616,Highest COL,Higher than state median
Saratoga,-122.02629118577086,37.26834909595982,30335,3501,241348,2000001,24.3,0.17407229394898655,Highest COL,Higher than state median
Alamo,-122.01359680672122,37.854774465766084,14441,3501,250001,2000001,32.3,0.16804732781068873,Highest COL,Higher than state median
San Marino,-118.11314562486608,34.12238745940813,12279,3501,187633,2000001,21.1,0.22390517659473547,Highest COL,Higher than state median
Hillsborough,-122.35857795366464,37.55722663341515,11122,3501,250001,2000001,12.7,0.16804732781068873,Highest COL,Higher than state median
Rancho Palos Verdes,-118.36339023848325,33.7554454982002,41259,3501,175307,1541400,31.3,0.23964816008487969,Highest COL,Higher than state median
Malibu,-118.78390607631462,34.03700722366869,10516,3501,192159,2000001,39.4,0.21863144583391877,Highest COL,Higher than state median
Blackhawk,-121.90703912007974,37.81592927235785,10404,3501,239681,1948900,32.2,0.17528298029464162,Highest COL,Higher than state median
Cupertino,-122.0465186866741,37.316830402671975,58886,3501,231139,2000001,22,0.18176075867767882,Highest COL,Higher than state median
Danville,-121.96982044326141,37.812158184114985,43426,3501,223206,1583300,28.6,0.1882207467541195,Highest COL,Higher than state median
Manhattan Beach,-118.3966589670849,33.889412283766234,34584,3492,193904,2000001,23.6,0.21610693951646176,Highest COL,Higher than state median
Corte Madera,-122.51285544042001,37.92380066022153,10101,3468,220771,1702000,24.7,0.18850301896535326,Highest COL,Higher than state median
Millbrae,-122.40221263271269,37.59943121370695,22589,3401,157567,1929700,31.1,0.25901362594959604,Highest COL,Higher than state median
Rancho Mission Viejo,-117.56177696086617,33.51399148168313,11355,3342,181111,1039300,51,0.22143326468298447,Highest COL,Higher than state median
Palos Verdes Estates,-118.39724983417719,33.78719808947523,13047,3331,247500,2000001,51,0.16150303030303031,Highest COL,Higher than state median
Ladera Ranch,-117.64172494080846,33.54917074292771,23609,3331,184257,1046600,37.2,0.21693612725703773,Highest COL,Higher than state median
Palo Alto,-122.14674550086224,37.390490553300275,67231,3328,220408,2000001,25.9,0.1811912453268484,Highest COL,Higher than state median
Mill Valley,-122.5420573616597,37.908551743877304,14064,3313,208466,2000001,26.2,0.19070735755470916,Highest COL,Higher than state median
