upc_bin,subject_label,n_obs,n_districts,avg_upc,avg_sc_per_ada,median_dfs_change,pct_improved,slope_per_dollar,r_squared
0–25%  (Low Need),ELA,351,89,15.3,310,1.8,61.5,-5.26e-4,0
0–25%  (Low Need),Math,351,89,15.3,310,2.8,69.8,-0.002001,6e-4
25–40%,ELA,360,92,32.6,669,1.6,58.3,0.002146,5e-4
25–40%,Math,360,92,32.6,669,2.35,70.6,0.002171,8e-4
40–55%,ELA,598,153,46.8,955,1.6,59.2,0.00348,0.0026
40–55%,Math,598,153,46.8,955,1.65,59.7,0.004779,0.0058
55–70%,ELA,631,163,62.7,1780,1.8,60.5,-2.9e-4,2e-4
55–70%,Math,631,163,62.7,1780,2.3,68.1,-4.68e-4,6e-4
70%+  (High Need),ELA,1369,349,84,3501,2.5,64.6,1.12e-4,1e-4
70%+  (High Need),Math,1369,349,84,3501,3.4,71.8,1.97e-4,4e-4
