OBJECTID,Academic Year,Fed ID,District Code,CDS Code,County Name,District Name,District Type,Grade Low,Grade High,Assistance Status,Street,City,Zip,Region,US Congress District,CA Senate District,CA Assembly District,Locale,Latitude,Longitude,Enroll Total,Enroll Charter,Enroll Non Charter,African American,African American (%),American Indian,American Indian (%),Asian,Asian (%),Filipino,Filipino (%),Hispanic,Hispanic (%),Pacific Islander,Pacific Islander (%),White,White (%),Two or More Races,Two or More Races (%),Not Reported,Not Reported (%),English Learners,English Learners (%),Foster,Foster (%),Homeless,Homeless (%),Migrant,Migrant (%),Socioeconomically Disadvantaged,Socioeconomically Disadvantaged (%),Students with Disabilities,Students with Disabilities (%),x,y
1,2023-24,0691051,0110017,01100170000000,Alameda,Alameda County Office of Education,County Office of Education (COE),KG,12,Differentiated Assistance,313 West Winton Ave.,Hayward,94544,04,14,10,20,"21 - Suburban, Large",37.65848196,-122.09834715,3914,3812,102,510,13,19,0.5,724,18.5,71,1.8,1809,46.2,40,1,331,8.5,343,8.8,67,1.7,1069,27.3,26,0.7,33,0.8,1,0,2387,61,440,11.2,-13591925.831892,4531292.47310432
2,2023-24,0600002,0131609,01316090000000,Alameda,California School for the Blind (State Special Schl),State Special Schools,KG,12,,500 Walnut Ave.,Fremont,94536,04,14,10,24,"12 - City, Midsize ",37.56180196,-121.96550312,49,0,49,5,10.2,0,0,6,12.2,4,8.2,27,55.1,1,2,3,6.1,2,4.1,1,2,9,18.4,1,2,0,0,0,0,21,42.9,40,81.6,-13577137.7020326,4517706.73645172
3,2023-24,0600003,0131617,01316170000000,Alameda,California School for the Deaf-Fremont (State Special Schl),State Special Schools,KG,12,,39350 Gallaudet Dr.,Fremont,94538,04,14,10,24,"12 - City, Midsize ",37.55976896,-121.96336612,300,0,300,18,6,0,0,26,8.7,7,2.3,166,55.3,2,0.7,64,21.3,16,5.3,1,0.3,3,1,2,0.7,1,0.3,0,0,300,100,298,99.3,-13576899.8121957,4517421.24330645
4,2023-24,0601770,0161119,01611190000000,Alameda,Alameda Unified,Unified,KG,12,General Assistance,2060 Challenger Dr.,Alameda,94501,04,12,07,18,"21 - Suburban, Large",37.78215496,-122.27010419,10557,1496,9061,748,7.1,25,0.2,2610,24.7,484,4.6,1878,17.8,52,0.5,2844,26.9,1596,15.1,320,3,906,8.6,27,0.3,91,0.9,0,0,4035,38.2,1286,12.2,-13611045.7381501,4548697.15807416
5,2023-24,0601860,0161127,01611270000000,Alameda,Albany City Unified,Unified,KG,12,General Assistance,1216 Solano Ave.,Albany,94706,04,12,07,14,"21 - Suburban, Large",37.890276,-122.295755,3574,0,3574,152,4.3,10,0.3,1130,31.6,51,1.4,616,17.2,4,0.1,923,25.8,483,13.5,205,5.7,456,12.8,1,0,24,0.7,0,0,1122,31.4,320,9,-13613901.172841,4563937.06645628
6,2023-24,0604740,0161143,01611430000000,Alameda,Berkeley Unified,Unified,KG,12,General Assistance,2020 Bonar St.,Berkeley,94702,04,12,07,14,"12 - City, Midsize ",37.86944396,-122.28779121,9077,0,9077,1052,11.6,21,0.2,736,8.1,73,0.8,2045,22.5,16,0.2,3733,41.1,1392,15.3,9,0.1,594,6.5,32,0.4,150,1.7,0,0,2508,27.6,1092,12,-13613014.6474473,4560999.00463641
7,2023-24,0607800,0161150,01611500000000,Alameda,Castro Valley Unified,Unified,KG,12,General Assistance,4400 Alma Ave.,Castro Valley,94546,04,14,09,20,"21 - Suburban, Large",37.70800696,-122.07180916,9489,0,9489,406,4.3,7,0.1,3119,32.9,423,4.5,2331,24.6,40,0.4,1862,19.6,974,10.3,327,3.4,1266,13.3,5,0.1,135,1.4,0,0,3686,38.8,1048,11,-13588971.6354272,4538258.71339164
8,2023-24,0612630,0161168,01611680000000,Alameda,Emery Unified,Unified,KG,12,General Assistance,4727 San Pablo Ave.,Emeryville,94608,04,12,07,18,"21 - Suburban, Large",37.83658996,-122.2819692,600,0,600,265,44.2,0,0,56,9.3,5,0.8,126,21,4,0.7,76,12.7,56,9.3,12,2,98,16.3,1,0.2,13,2.2,0,0,327,54.5,75,12.5,-13612366.544714,4556367.10422245
9,2023-24,0614400,0161176,01611760000000,Alameda,Fremont Unified,Unified,KG,12,Differentiated Assistance,4210 Technology Dr.,Fremont,94538,04,17,10,24,"12 - City, Midsize ",37.50765796,-121.95448111,33063,402,32661,588,1.8,120,0.4,21565,65.2,1373,4.2,5327,16.1,163,0.5,2426,7.3,1150,3.5,351,1.1,5508,16.7,21,0.1,226,0.7,46,0.1,8297,25.1,3323,10.1,-13575910.7376478,4510105.97538725
10,2023-24,0616740,0161192,01611920000000,Alameda,Hayward Unified,Unified,KG,12,Differentiated Assistance,24411 Amador St.,Hayward,94544,04,14,10,20,"21 - Suburban, Large",37.65670396,-122.09371115,20193,2562,17631,1388,6.9,46,0.2,1700,8.4,1303,6.5,13289,65.8,632,3.1,802,4,848,4.2,185,0.9,5864,29,44,0.2,564,2.8,302,1.5,15843,78.5,2698,13.4,-13591409.75463,4531042.46415296
