OBJECTID,Academic Year,Fed ID,CDS Code,District Code,School Code,Region,County Name,District Name,School Name,School Type,Status,Open Date,Closed Date,School Level,Grade Low,Grade High,Charter,Charter Num,Funding Type,Virtual,Magnet,Title I,DASS,Assistance Status ESSA,Street,City,Zip,State,Locale,School Website,Enroll Total,African American,African American (%),American Indian,American Indian Pct,Asian,Asian (%),Filipino,Filipino (%),Hispanic,Hispanic (%),Pacific Islander,Pacific Islander (%),White,White (%),Two or More Races,Two or More Races (%),Not Reported,Not Reported (%),English Learner,English Learner (%),Foster,Foster (%),Homeless,Homeless (%),Migrant,Migrant (%),Socioeconomically Disadvantaged,Socioeconomically Disadvantaged (%),Students with Disabilities,Students with Disabilities (%),Free/Reduced Meal Eligible,Free/Reduced Meal Eligible (%),Grade TK,Grade KG,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Latitude,Longitude,CountyCodeGeo,CountyNameGeo,DistrictElemCodeGeo,DistrictElemNameGeo,DistrictHighCodeGeo,DistrictHighNameGeo,DistrictUnifiedCodeGeo,DistrictUnifiedNameGeo,CongUSGeo,SenateCAGeo,AssemblyCAGeo,Locale Four,x,y
1,2024-25,069105110947,01100170112607,10017,0112607,04,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,K-12,Active,8/28/2006 12:00:00 AM,,High,06,12,Y,0811,Directly funded,N,N,Y,N,ATSI,1515 Webster St.,Oakland,94612-3355,CA,"11 - City, Large",http://www.envisionacademy.org/,207,61,29.5,0,0,0,0,0,0,79,38.2,1,0.5,8,3.9,4,1.9,54,26.1,23,11.1,2,1,0,0,0,0,160,77.3,47,22.7,153,73.9,0,0,0,0,0,0,0,18,23,18,24,31,40,53,37.80467596,-122.2683662,01,Alameda,,,,,0161259,Oakland Unified,12,07,18,1 - City,-13610852.2655247,4551869.70425592
2,2024-25,069105112844,01100170123968,10017,0123968,04,Alameda,Alameda County Office of Education,Community School for Creative Education,Elementary,Active,8/22/2011 12:00:00 AM,,Elementary,KG,08,Y,1284,Directly funded,N,N,Y,N,No Status,2111 International Blvd.,Oakland,94606-4903,CA,"11 - City, Large",http://www.communityschoolforcreativeeducation.org,183,34,18.6,3,1.6,9,4.9,1,0.5,122,66.7,1,0.5,7,3.8,4,2.2,2,1.1,97,53,3,1.6,0,0,0,0,165,90.2,30,16.4,163,89.1,6,16,14,14,27,27,22,19,23,15,0,0,0,0,37.78489996,-122.23880019,01,Alameda,,,,,0161259,Oakland Unified,12,07,18,1 - City,-13607560.9923283,4549083.79658806
3,2024-25,069105112901,01100170124172,10017,0124172,04,Alameda,Alameda County Office of Education,Yu Ming Charter,Elementary,Active,8/9/2011 12:00:00 AM,,Elementary,KG,08,Y,1296,Directly funded,N,N,Y,N,No Status,2501 Chestnut St.,Oakland,94607-2477,CA,"11 - City, Large",http://www.yumingschool.org,959,79,8.2,2,0.2,496,51.7,29,3,84,8.8,0,0,53,5.5,215,22.4,1,0.1,165,17.2,0,0,0,0,0,0,327,34.1,57,5.9,325,33.9,0,171,169,163,140,77,75,66,61,37,0,0,0,0,37.818054,-122.28211901,01,Alameda,,,,,0161259,Oakland Unified,12,07,18,1 - City,-13612383.2213532,4553754.73417607
4,2024-25,069105113008,01100170125567,10017,0125567,04,Alameda,Alameda County Office of Education,Urban Montessori Charter,Elementary,Closed,8/27/2012 12:00:00 AM,6/30/2025 12:00:00 AM,Elementary,KG,08,Y,1383,Directly funded,N,N,Y,N,No Status,4551 Steele St.,Oakland,94619-3312,CA,"11 - City, Large",Information Not Available,343,66,19.2,0,0,18,5.2,2,0.6,110,32.1,4,1.2,98,28.6,45,13.1,0,0,25,7.3,0,0,0,0,0,0,128,37.3,44,12.8,128,37.3,43,57,46,40,39,25,44,17,17,15,0,0,0,0,37.78677196,-122.18798518,01,Alameda,,,,,0161259,Oakland Unified,12,07,18,1 - City,-13601904.2913423,4549347.47918636
5,2024-25,069105109264,01100170130401,10017,0130401,04,Alameda,Alameda County Office of Education,Alameda County Juvenile Hall/Court,Juvenile Court,Active,7/1/1980 12:00:00 AM,,Other,KG,12,N,,,N,N,Y,Y,CSI Grad,2500 Fairmont Ave.,San Leandro,94578-1005,CA,"21 - Suburban, Large",http://www.acoe.org,56,29,51.8,0,0,0,0,0,0,23,41.1,0,0,3,5.4,0,0,1,1.8,8,14.3,12,21.4,2,3.6,0,0,56,100,21,37.5,56,100,0,0,0,0,0,0,0,0,0,1,13,13,10,19,37.71595596,-122.11823716,01,Alameda,,,,,0161309,San Lorenzo Unified,14,09,20,2 - Suburb,-13594139.9771917,4539377.26110206
6,2024-25,069105106830,01100170130419,10017,0130419,04,Alameda,Alameda County Office of Education,Alameda County Community,County Community,Active,7/1/1980 12:00:00 AM,,Other,KG,12,N,,,C,N,Y,Y,No Status,313 West Winton Ave.,Hayward,94544-1136,CA,"21 - Suburban, Large",http://www.acoe.org,73,8,11,1,1.4,4,5.5,1,1.4,55,75.3,1,1.4,2,2.7,0,0,1,1.4,39,53.4,2,2.7,10,13.7,0,0,46,63,11,15.1,43,58.9,0,0,0,0,0,0,0,0,0,5,25,19,13,11,37.65848196,-122.09834715,01,Alameda,,,,,0161192,Hayward Unified,14,10,20,2 - Suburb,-13591925.8313923,4531292.47336844
7,2024-25,069105108674,01100170130625,10017,0130625,04,Alameda,Alameda County Office of Education,Alternatives in Action,High,Active,9/4/2001 12:00:00 AM,,High,09,12,Y,0398,Directly funded,N,N,Y,Y,CSI Grad,6221 East 17th St.,Oakland,94621-4107,CA,"11 - City, Large",http://www.alternativesinaction.org,106,9,8.5,0,0,0,0,0,0,88,83,0,0,0,0,0,0,9,8.5,56,52.8,0,0,0,0,0,0,100,94.3,19,17.9,95,89.6,0,0,0,0,0,0,0,0,0,0,21,27,24,34,37.76445496,-122.19543518,01,Alameda,,,,,0161259,Oakland Unified,12,07,18,1 - City,-13602733.6215424,4546204.42826542
8,2024-25,069105113887,01100170131581,10017,0131581,04,Alameda,Alameda County Office of Education,Oakland Unity Middle,Middle,Active,8/23/2015 12:00:00 AM,,Middle,06,08,Y,1707,Directly funded,N,N,Y,N,No Status,1180 70th Ave.,Oakland,94621-3216,CA,"11 - City, Large",http://www.unitymiddle.org,132,12,9.1,0,0,1,0.8,0,0,106,80.3,0,0,12,9.1,1,0.8,0,0,49,37.1,0,0,0,0,0,0,108,81.8,24,18.2,101,76.5,0,0,0,0,0,0,0,44,44,44,0,0,0,0,37.75920496,-122.19076218,01,Alameda,,,,,0161259,Oakland Unified,12,07,18,1 - City,-13602213.4255765,4545465.17389086
9,2024-25,069105114091,01100170136101,10017,0136101,04,Alameda,Alameda County Office of Education,Connecting Waters Charter - East Bay,K-12,Active,8/16/2017 12:00:00 AM,,Other,KG,12,Y,1881,Directly funded,N,N,N,N,No Status,703 C St.,Union City,94587-2195,CA,"21 - Suburban, Large",http://www.cweastbay.org,540,21,3.9,3,0.6,228,42.2,15,2.8,48,8.9,1,0.2,115,21.3,88,16.3,21,3.9,23,4.3,1,0.2,0,0,0,0,164,30.4,61,11.3,164,30.4,13,26,27,33,46,41,45,44,44,48,45,53,41,34,37.60376496,-122.02499314,01,Alameda,,,,,0161242,New Haven Unified,14,10,20,2 - Suburb,-13583760.1003839,4523601.32265521
10,2024-25,069105114090,01100170136226,10017,0136226,04,Alameda,Alameda County Office of Education,Opportunity Academy,County Community,Active,9/5/2017 12:00:00 AM,,High,10,12,Y,1888,Locally funded,C,N,N,Y,CSI Grad,313 West Winton Ave.,Hayward,94544-1136,CA,"21 - Suburban, Large",http://www.acoe.org,175,62,35.4,1,0.6,4,2.3,2,1.1,92,52.6,2,1.1,8,4.6,2,1.1,2,1.1,35,20,6,3.4,4,2.3,0,0,92,52.6,26,14.9,66,37.7,0,0,0,0,0,0,0,0,0,0,0,23,37,115,37.65848196,-122.09834715,01,Alameda,,,,,0161192,Hayward Unified,14,10,20,2 - Suburb,-13591925.8313923,4531292.47336844
11,2024-25,069105114335,01100170137448,10017,0137448,04,Alameda,Alameda County Office of Education,Aurum Preparatory Academy,Middle,Closed,8/13/2018 12:00:00 AM,6/30/2025 12:00:00 AM,Middle,06,08,Y,1908,Directly funded,N,N,N,N,ATSI,1034 66th Ave.,Oakland,94621-3536,CA,"11 - City, Large",Information Not Available,93,44,47.3,0,0,2,2.2,0,0,43,46.2,0,0,3,3.2,1,1.1,0,0,25,26.9,0,0,1,1.1,0,0,80,86,24,25.8,80,86,0,0,0,0,0,0,0,16,38,39,0,0,0,0,37.75786496,-122.19611318,01,Alameda,,,,,0161259,Oakland Unified,12,07,18,1 - City,-13602809.096134,4545276.49641467
12,2024-25,069105114443,01100170138867,10017,0138867,04,Alameda,Alameda County Office of Education,Hayward Collegiate Charter,Elementary,Active,8/19/2019 12:00:00 AM,,Elementary,KG,06,Y,2027,Directly funded,N,N,Y,N,No Status,166 West Harder Rd.,Hayward,94544-2742,CA,"21 - Suburban, Large",http://www.haywardcollegiate.org,231,15,6.5,0,0,15,6.5,21,9.1,149,64.5,7,3,3,1.3,18,7.8,3,1.3,49,21.2,0,0,3,1.3,0,0,128,55.4,13,5.6,128,55.4,16,29,29,28,30,29,49,21,0,0,0,0,0,0,37.64834296,-122.08219115,01,Alameda,,,,,0161192,Hayward Unified,14,10,20,2 - Suburb,-13590127.353744,4529866.88412168
13,2024-25,069105104257,01100176001788,10017,6001788,04,Alameda,Alameda County Office of Education,Cox Academy,Elementary,Active,7/1/1980 12:00:00 AM,,Elementary,KG,05,Y,0740,Directly funded,N,N,Y,N,No Status,9860 Sunnyside St.,Oakland,94603-2750,CA,"11 - City, Large",http://www.efcps.org,446,66,14.8,3,0.7,6,1.3,0,0,351,78.7,14,3.1,1,0.2,5,1.1,0,0,231,51.8,0,0,39,8.7,1,0.2,406,91,39,8.7,390,87.4,40,47,75,70,73,69,72,0,0,0,0,0,0,0,37.74630696,-122.16141417,01,Alameda,,,,,0161259,Oakland Unified,12,07,18,1 - City,-13598946.4199409,4543649.22443299
14,2024-25,069105104288,01100176002000,10017,6002000,04,Alameda,Alameda County Office of Education,Lazear Charter Academy,Elementary,Active,7/1/1980 12:00:00 AM,,Elementary,KG,08,Y,1464,Directly funded,N,N,Y,N,No Status,824 29th Ave.,Oakland,94601-2205,CA,"11 - City, Large",http://www.efcps.org,490,30,6.1,4,0.8,8,1.6,7,1.4,427,87.1,0,0,10,2,2,0.4,2,0.4,171,34.9,2,0.4,2,0.4,0,0,327,66.7,74,15.1,296,60.4,25,36,50,51,49,56,50,59,57,57,0,0,0,0,37.77616196,-122.23183519,01,Alameda,,,,,0161259,Oakland Unified,12,07,18,1 - City,-13606785.6520238,4547853.08429264
15,2024-25,060000210346,01316090131755,31609,0131755,04,Alameda,California School for the Blind (State Special Schl),California School for the Blind,State Special,Active,7/1/1980 12:00:00 AM,,Other,KG,,N,,,N,Y,,,,500 Walnut Ave.,Fremont,94536-4365,CA,"12 - City, Midsize ",http://www.csb-cde.ca.gov/,42,1,2.4,0,0,6,14.3,3,7.1,25,59.5,1,2.4,5,11.9,1,2.4,0,0,8,19,1,2.4,0,0,0,0,21,50,42,100,17,40.5,0,0,0,0,0,0,2,2,2,7,3,5,7,14,37.56180196,-121.96550312,01,Alameda,,,,,0161176,Fremont Unified,14,10,24,1 - City,-13577137.7016567,4517706.73658588
16,2024-25,060000310347,01316170131763,31617,0131763,04,Alameda,California School for the Deaf-Fremont (State Special Schl),California School for the Deaf-Fremont,State Special,Active,7/1/1980 12:00:00 AM,,Other,PK,12,N,,,N,N,,,,39350 Gallaudet Dr.,Fremont,94538-2308,CA,"12 - City, Midsize ",http://www.csdeagles.com,279,17,6.1,0,0,22,7.9,8,2.9,161,57.7,2,0.7,51,18.3,18,6.5,0,0,0,0,3,1.1,1,0.4,0,0,277,99.3,278,99.6,277,99.3,0,11,12,13,8,10,12,20,16,18,26,34,31,68,37.55976896,-121.96336612,01,Alameda,,,,,0161176,Fremont Unified,14,10,24,1 - City,-13576899.8119434,4517421.24331168
17,2024-25,060177010547,01611190106401,61119,0106401,04,Alameda,Alameda Unified,Alameda Science and Technology Institute,Alternative Schools of Choice,Active,8/19/2004 12:00:00 AM,,High,09,12,N,,,N,Y,N,N,No Status,555 Ralph Appezzato Memorial Pkwy.,Alameda,94501-2109,CA,"21 - Suburban, Large",http://asti.alamedaunified.org/,211,9,4.3,0,0,108,51.2,8,3.8,20,9.5,1,0.5,37,17.5,25,11.8,3,1.4,2,0.9,0,0,0,0,0,0,96,45.5,19,9,96,45.5,0,0,0,0,0,0,0,0,0,0,55,42,51,63,37.78146395,-122.2806942,01,Alameda,,,,,0161119,Alameda Unified,12,07,18,2 - Suburb,-13612224.6122166,4548599.83100682
