AcademicYear	AggregateLevel	CountyCode	DistrictCode	SchoolCode	CountyName	DistrictName	SchoolName	CharterSchool	DASS	ReportingCategory	CohortStudents	Regular HS Diploma Graduates (Count)	Regular HS Diploma Graduates (Rate)	Met UC/CSU Grad Req's (Count)	Met UC/CSU Grad Req's (Rate)	Seal of Biliteracy (Count)	Seal of Biliteracy (Rate)	Golden State Seal Merit Diploma (Count)	Golden State Seal Merit Diploma (Rate	CHSPE Completer (Count)	CHSPE Completer (Rate)	Adult Ed. HS Diploma (Count)	Adult Ed. HS Diploma (Rate)	SPED Certificate (Count)	SPED Certificate (Rate)	GED Completer (Count)	GED Completer (Rate)	Other Transfer (Count)	Other Transfer (Rate)	Dropout (Count)	Dropout (Rate)	Still Enrolled (Count)	Still Enrolled (Rate)
2021-22	C	01			Alameda			All	All	GF	8536	7765	91	5317	68.5	1306	16.8	2738	35.3	14	0.2	0	0	51	0.6	5	0.1	16	0.2	465	5.4	220	2.6
2021-22	C	01			Alameda			All	All	GM	9104	7882	86.6	4597	58.3	835	10.6	2137	27.1	17	0.2	2	0	106	1.2	1	0	25	0.3	758	8.3	313	3.4
2021-22	C	01			Alameda			All	All	GX	16	11	68.8	7	63.6	1	9.1	2	18.2	1	6.3	0	0	0	0	0	0	0	0	2	12.5	2	12.5
2021-22	C	01			Alameda			All	All	RA	4557	4349	95.4	3650	83.9	1188	27.3	2461	56.6	12	0.3	0	0	37	0.8	1	0	4	0.1	106	2.3	48	1.1
2021-22	C	01			Alameda			All	All	RB	1593	1327	83.3	602	45.4	22	1.7	116	8.7	3	0.2	0	0	24	1.5	0	0	10	0.6	156	9.8	73	4.6
2021-22	C	01			Alameda			All	All	RD	134	105	78.4	56	53.3	3	2.9	16	15.2	0	0	0	0	2	1.5	0	0	0	0	18	13.4	9	6.7
2021-22	C	01			Alameda			All	All	RF	932	874	93.8	569	65.1	44	5	331	37.9	1	0.1	0	0	16	1.7	1	0.1	3	0.3	21	2.3	16	1.7
2021-22	C	01			Alameda			All	All	RH	6080	4949	81.4	2239	45.2	461	9.3	620	12.5	3	0	2	0	54	0.9	1	0	18	0.3	715	11.8	338	5.6
2021-22	C	01			Alameda			All	All	RI	45	37	82.2	13	35.1	0	0	3	8.1	0	0	0	0	0	0	0	0	0	0	4	8.9	4	8.9
2021-22	C	01			Alameda			All	All	RP	170	147	86.5	43	29.3	1	0.7	21	14.3	0	0	0	0	3	1.8	0	0	2	1.2	15	8.8	3	1.8
2021-22	C	01			Alameda			All	All	RT	970	917	94.5	630	68.7	96	10.5	298	32.5	1	0.1	0	0	5	0.5	0	0	3	0.3	34	3.5	10	1
2021-22	C	01			Alameda			All	All	RW	3175	2953	93	2119	71.8	327	11.1	1011	34.2	12	0.4	0	0	16	0.5	3	0.1	1	0	156	4.9	34	1.1
2021-22	C	01			Alameda			All	All	SD	2074	1580	76.2	389	24.6	31	2	117	7.4	2	0.1	0	0	157	7.6	4	0.2	3	0.1	182	8.8	146	7
2021-22	C	01			Alameda			All	All	SE	2741	1861	67.9	705	37.9	84	4.5	181	9.7	1	0	2	0.1	51	1.9	0	0	16	0.6	556	20.3	254	9.3
2021-22	C	01			Alameda			All	All	SF	130	64	49.2	13	20.3	0	0	4	6.3	0	0	1	0.8	0	0	1	0.8	1	0.8	40	30.8	23	17.7
2021-22	C	01			Alameda			All	All	SH	706	385	54.5	110	28.6	5	1.3	10	2.6	0	0	0	0	3	0.4	0	0	5	0.7	231	32.7	82	11.6
2021-22	C	01			Alameda			All	All	SM	86	77	89.5	29	37.7	17	22.1	11	14.3	0	0	0	0	0	0	0	0	0	0	6	7	3	3.5
2021-22	C	01			Alameda			All	All	SS	9493	7918	83.4	3855	48.7	538	6.8	1174	14.8	11	0.1	2	0	106	1.1	1	0	31	0.3	957	10.1	467	4.9
2021-22	C	01			Alameda			All	All	TA	17656	15658	88.7	9921	63.4	2142	13.7	4877	31.1	32	0.2	2	0	157	0.9	6	0	41	0.2	1225	6.9	535	3
2021-22	C	01			Alameda			All	No 	GF	7839	7322	93.4	5264	71.9	1304	17.8	2731	37.3	12	0.2	0	0	51	0.7	4	0.1	10	0.1	341	4.4	99	1.3
2021-22	C	01			Alameda			All	No 	GM	8182	7338	89.7	4536	61.8	835	11.4	2137	29.1	14	0.2	1	0	106	1.3	1	0	18	0.2	553	6.8	151	1.8
2021-22	C	01			Alameda			All	No 	GX	14	9	64.3	7	77.8	1	11.1	2	22.2	1	7.1	0	0	0	0	0	0	0	0	2	14.3	2	14.3
2021-22	C	01			Alameda			All	No 	RA	4481	4296	95.9	3639	84.7	1188	27.7	2458	57.2	11	0.2	0	0	37	0.8	1	0	4	0.1	94	2.1	38	0.8
2021-22	C	01			Alameda			All	No 	RB	1299	1151	88.6	593	51.5	22	1.9	115	10	3	0.2	0	0	24	1.8	0	0	6	0.5	97	7.5	18	1.4
2021-22	C	01			Alameda			All	No 	RD	101	83	82.2	52	62.7	3	3.6	16	19.3	0	0	0	0	2	2	0	0	0	0	12	11.9	4	4
2021-22	C	01			Alameda			All	No 	RF	880	839	95.3	569	67.8	44	5.2	331	39.5	1	0.1	0	0	16	1.8	1	0.1	1	0.1	13	1.5	9	1
2021-22	C	01			Alameda			All	No 	RH	5164	4427	85.7	2169	49	459	10.4	618	14	3	0.1	1	0	54	1	0	0	12	0.2	511	9.9	156	3
2021-22	C	01			Alameda			All	No 	RI	38	33	86.8	13	39.4	0	0	3	9.1	0	0	0	0	0	0	0	0	0	0	3	7.9	2	5.3
2021-22	C	01			Alameda			All	No 	RP	143	129	90.2	41	31.8	1	0.8	21	16.3	0	0	0	0	3	2.1	0	0	2	1.4	9	6.3	0	0
2021-22	C	01			Alameda			All	No 	RT	901	866	96.1	623	71.9	96	11.1	298	34.4	1	0.1	0	0	5	0.6	0	0	2	0.2	25	2.8	2	0.2
2021-22	C	01			Alameda			All	No 	RW	3028	2845	94	2108	74.1	327	11.5	1010	35.5	8	0.3	0	0	16	0.5	3	0.1	1	0	132	4.4	23	0.8
2021-22	C	01			Alameda			All	No 	SD	1804	1415	78.4	378	26.7	31	2.2	115	8.1	1	0.1	0	0	157	8.7	3	0.2	3	0.2	138	7.6	87	4.8
2021-22	C	01			Alameda			All	No 	SE	2231	1595	71.5	636	39.9	83	5.2	181	11.3	1	0	1	0	51	2.3	0	0	10	0.4	421	18.9	152	6.8
2021-22	C	01			Alameda			All	No 	SF	67	50	74.6	13	26	0	0	4	8	0	0	1	1.5	0	0	0	0	0	0	10	14.9	6	9
2021-22	C	01			Alameda			All	No 	SH	448	266	59.4	89	33.5	5	1.9	10	3.8	0	0	0	0	3	0.7	0	0	4	0.9	139	31	36	8
2021-22	C	01			Alameda			All	No 	SM	73	67	91.8	29	43.3	17	25.4	11	16.4	0	0	0	0	0	0	0	0	0	0	5	6.8	1	1.4
2021-22	C	01			Alameda			All	No 	SS	8098	7098	87.7	3760	53	536	7.6	1172	16.5	11	0.1	1	0	106	1.3	0	0	21	0.3	652	8.1	209	2.6
2021-22	C	01			Alameda			All	No 	TA	16035	14669	91.5	9807	66.9	2140	14.6	4870	33.2	27	0.2	1	0	157	1	5	0	28	0.2	896	5.6	252	1.6
2021-22	C	01			Alameda			All	Yes	GF	697	443	63.6	53	12	2	0.5	7	1.6	2	0.3	0	0	0	0	1	0.1	6	0.9	124	17.8	121	17.4
2021-22	C	01			Alameda			All	Yes	GM	922	544	59	61	11.2	0	0	0	0	3	0.3	1	0.1	0	0	0	0	7	0.8	205	22.2	162	17.6
2021-22	C	01			Alameda			All	Yes	GX	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
2021-22	C	01			Alameda			All	Yes	RA	76	53	69.7	11	20.8	0	0	3	5.7	1	1.3	0	0	0	0	0	0	0	0	12	15.8	10	13.2
2021-22	C	01			Alameda			All	Yes	RB	294	176	59.9	9	5.1	0	0	1	0.6	0	0	0	0	0	0	0	0	4	1.4	59	20.1	55	18.7
2021-22	C	01			Alameda			All	Yes	RD	33	22	66.7	4	18.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	18.2	5	15.2
2021-22	C	01			Alameda			All	Yes	RF	52	35	67.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3.8	8	15.4	7	13.5
2021-22	C	01			Alameda			All	Yes	RH	916	522	57	70	13.4	2	0.4	2	0.4	0	0	1	0.1	0	0	1	0.1	6	0.7	204	22.3	182	19.9
