AcademicYear	AggregateLevel	CountyCode	DistrictCode	SchoolCode	CountyName	DistrictName	SchoolName	Charter	ReportingCategory	CumulativeEnrollment
2022-23	C	01			Alameda			All	GF	106188
2022-23	C	01			Alameda			All	GM	113568
2022-23	C	01			Alameda			All	GX	294
2022-23	C	01			Alameda			All	RA	61753
2022-23	C	01			Alameda			All	RB	18805
2022-23	C	01			Alameda			All	RD	3055
2022-23	C	01			Alameda			All	RF	8965
2022-23	C	01			Alameda			All	RH	76640
2022-23	C	01			Alameda			All	RI	637
2022-23	C	01			Alameda			All	RP	1984
2022-23	C	01			Alameda			All	RT	14585
2022-23	C	01			Alameda			All	RW	33626
2022-23	C	01			Alameda			All	SD	29498
2022-23	C	01			Alameda			All	SE	47966
2022-23	C	01			Alameda			All	SF	766
2022-23	C	01			Alameda			All	SH	4771
2022-23	C	01			Alameda			All	SM	719
2022-23	C	01			Alameda			All	SS	106751
2022-23	C	01			Alameda			All	TA	220050
2022-23	C	01			Alameda			No 	GF	95653
2022-23	C	01			Alameda			No 	GM	102975
2022-23	C	01			Alameda			No 	GX	252
2022-23	C	01			Alameda			No 	RA	59016
2022-23	C	01			Alameda			No 	RB	15528
2022-23	C	01			Alameda			No 	RD	2560
2022-23	C	01			Alameda			No 	RF	8571
2022-23	C	01			Alameda			No 	RH	65327
2022-23	C	01			Alameda			No 	RI	577
2022-23	C	01			Alameda			No 	RP	1832
2022-23	C	01			Alameda			No 	RT	13500
2022-23	C	01			Alameda			No 	RW	31969
2022-23	C	01			Alameda			No 	SD	26777
2022-23	C	01			Alameda			No 	SE	41601
2022-23	C	01			Alameda			No 	SF	694
2022-23	C	01			Alameda			No 	SH	4538
2022-23	C	01			Alameda			No 	SM	718
2022-23	C	01			Alameda			No 	SS	91942
2022-23	C	01			Alameda			No 	TA	198880
2022-23	C	01			Alameda			Yes	GF	11095
2022-23	C	01			Alameda			Yes	GM	11146
2022-23	C	01			Alameda			Yes	GX	46
2022-23	C	01			Alameda			Yes	RA	2865
2022-23	C	01			Alameda			Yes	RB	3501
2022-23	C	01			Alameda			Yes	RD	538
2022-23	C	01			Alameda			Yes	RF	401
2022-23	C	01			Alameda			Yes	RH	11828
2022-23	C	01			Alameda			Yes	RI	63
2022-23	C	01			Alameda			Yes	RP	167
2022-23	C	01			Alameda			Yes	RT	1157
2022-23	C	01			Alameda			Yes	RW	1767
2022-23	C	01			Alameda			Yes	SD	2916
2022-23	C	01			Alameda			Yes	SE	6683
2022-23	C	01			Alameda			Yes	SF	92
2022-23	C	01			Alameda			Yes	SH	279
2022-23	C	01			Alameda			Yes	SM	*
2022-23	C	01			Alameda			Yes	SS	15714
2022-23	C	01			Alameda			Yes	TA	22287
2022-23	C	02			Alpine			All	GF	41
2022-23	C	02			Alpine			All	GM	33
2022-23	C	02			Alpine			All	RA	*
2022-23	C	02			Alpine			All	RB	*
2022-23	C	02			Alpine			All	RD	*
2022-23	C	02			Alpine			All	RF	*
2022-23	C	02			Alpine			All	RH	*
2022-23	C	02			Alpine			All	RI	35
2022-23	C	02			Alpine			All	RP	*
2022-23	C	02			Alpine			All	RT	*
2022-23	C	02			Alpine			All	RW	32
2022-23	C	02			Alpine			All	SD	13
2022-23	C	02			Alpine			All	SH	*
2022-23	C	02			Alpine			All	SS	49
2022-23	C	02			Alpine			All	TA	74
2022-23	C	02			Alpine			No 	GF	41
2022-23	C	02			Alpine			No 	GM	33
2022-23	C	02			Alpine			No 	RA	*
2022-23	C	02			Alpine			No 	RB	*
2022-23	C	02			Alpine			No 	RD	*
2022-23	C	02			Alpine			No 	RF	*
2022-23	C	02			Alpine			No 	RH	*
2022-23	C	02			Alpine			No 	RI	35
2022-23	C	02			Alpine			No 	RP	*
2022-23	C	02			Alpine			No 	RT	*
2022-23	C	02			Alpine			No 	RW	32
2022-23	C	02			Alpine			No 	SD	13
2022-23	C	02			Alpine			No 	SH	*
2022-23	C	02			Alpine			No 	SS	49
2022-23	C	02			Alpine			No 	TA	74
2022-23	C	03			Amador			All	GF	2101
2022-23	C	03			Amador			All	GM	2228
2022-23	C	03			Amador			All	GX	*
2022-23	C	03			Amador			All	RA	22
2022-23	C	03			Amador			All	RB	30
2022-23	C	03			Amador			All	RD	56
2022-23	C	03			Amador			All	RF	24
2022-23	C	03			Amador			All	RH	1060
2022-23	C	03			Amador			All	RI	94
2022-23	C	03			Amador			All	RP	*
2022-23	C	03			Amador			All	RT	315
2022-23	C	03			Amador			All	RW	2727
2022-23	C	03			Amador			All	SD	873
2022-23	C	03			Amador			All	SE	144
2022-23	C	03			Amador			All	SF	60
2022-23	C	03			Amador			All	SH	297
2022-23	C	03			Amador			All	SM	86
2022-23	C	03			Amador			All	SS	2104
2022-23	C	03			Amador			All	TA	4337
2022-23	C	03			Amador			No 	GF	2101
2022-23	C	03			Amador			No 	GM	2228
2022-23	C	03			Amador			No 	GX	*
2022-23	C	03			Amador			No 	RA	22
2022-23	C	03			Amador			No 	RB	30
2022-23	C	03			Amador			No 	RD	56
2022-23	C	03			Amador			No 	RF	24
2022-23	C	03			Amador			No 	RH	1060
2022-23	C	03			Amador			No 	RI	94
2022-23	C	03			Amador			No 	RP	*
2022-23	C	03			Amador			No 	RT	315
2022-23	C	03			Amador			No 	RW	2727
2022-23	C	03			Amador			No 	SD	873
2022-23	C	03			Amador			No 	SE	144
2022-23	C	03			Amador			No 	SF	60
2022-23	C	03			Amador			No 	SH	297
2022-23	C	03			Amador			No 	SM	86
2022-23	C	03			Amador			No 	SS	2104
2022-23	C	03			Amador			No 	TA	4337
2022-23	C	04			Butte			All	GF	14734
2022-23	C	04			Butte			All	GM	15724
2022-23	C	04			Butte			All	GX	109
2022-23	C	04			Butte			All	GZ	*
2022-23	C	04			Butte			All	RA	1964
2022-23	C	04			Butte			All	RB	605
2022-23	C	04			Butte			All	RD	562
2022-23	C	04			Butte			All	RF	106
2022-23	C	04			Butte			All	RH	8269
2022-23	C	04			Butte			All	RI	579
2022-23	C	04			Butte			All	RP	111
2022-23	C	04			Butte			All	RT	2249
2022-23	C	04			Butte			All	RW	16123
2022-23	C	04			Butte			All	SD	5066
2022-23	C	04			Butte			All	SE	2381
2022-23	C	04			Butte			All	SF	334
2022-23	C	04			Butte			All	SH	1608
2022-23	C	04			Butte			All	SM	126
2022-23	C	04			Butte			All	SS	20268
2022-23	C	04			Butte			All	TA	30568
2022-23	C	04			Butte			No 	GF	12654
2022-23	C	04			Butte			No 	GM	13658
2022-23	C	04			Butte			No 	GX	62
2022-23	C	04			Butte			No 	RA	1863
2022-23	C	04			Butte			No 	RB	547
2022-23	C	04			Butte			No 	RD	504
2022-23	C	04			Butte			No 	RF	99
2022-23	C	04			Butte			No 	RH	7555
2022-23	C	04			Butte			No 	RI	525
2022-23	C	04			Butte			No 	RP	101
2022-23	C	04			Butte			No 	RT	1871
2022-23	C	04			Butte			No 	RW	13309
2022-23	C	04			Butte			No 	SD	4388
2022-23	C	04			Butte			No 	SE	2293
2022-23	C	04			Butte			No 	SF	293
2022-23	C	04			Butte			No 	SH	1443
2022-23	C	04			Butte			No 	SM	126
2022-23	C	04			Butte			No 	SS	18226
2022-23	C	04			Butte			No 	TA	26374
2022-23	C	04			Butte			Yes	GF	2286
2022-23	C	04			Butte			Yes	GM	2332
2022-23	C	04			Butte			Yes	GX	54
2022-23	C	04			Butte			Yes	GZ	*
2022-23	C	04			Butte			Yes	RA	110
2022-23	C	04			Butte			Yes	RB	70
2022-23	C	04			Butte			Yes	RD	67
2022-23	C	04			Butte			Yes	RF	*
2022-23	C	04			Butte			Yes	RH	821
2022-23	C	04			Butte			Yes	RI	73
2022-23	C	04			Butte			Yes	RP	11
2022-23	C	04			Butte			Yes	RT	412
2022-23	C	04			Butte			Yes	RW	3101
2022-23	C	04			Butte			Yes	SD	777
2022-23	C	04			Butte			Yes	SE	100
2022-23	C	04			Butte			Yes	SF	61
2022-23	C	04			Butte			Yes	SH	218
2022-23	C	04			Butte			Yes	SS	2416
2022-23	C	04			Butte			Yes	TA	4673
2022-23	C	05			Calaveras			All	GF	2717
2022-23	C	05			Calaveras			All	GM	2978
2022-23	C	05			Calaveras			All	GX	*
2022-23	C	05			Calaveras			All	RA	23
2022-23	C	05			Calaveras			All	RB	34
2022-23	C	05			Calaveras			All	RD	14
2022-23	C	05			Calaveras			All	RF	15
2022-23	C	05			Calaveras			All	RH	1329
2022-23	C	05			Calaveras			All	RI	87
2022-23	C	05			Calaveras			All	RP	13
2022-23	C	05			Calaveras			All	RT	342
2022-23	C	05			Calaveras			All	RW	3842
2022-23	C	05			Calaveras			All	SD	1142
2022-23	C	05			Calaveras			All	SE	241
2022-23	C	05			Calaveras			All	SF	91
2022-23	C	05			Calaveras			All	SH	283
2022-23	C	05			Calaveras			All	SS	3106
2022-23	C	05			Calaveras			All	TA	5699
2022-23	C	05			Calaveras			No 	GF	2514
2022-23	C	05			Calaveras			No 	GM	2770
2022-23	C	05			Calaveras			No 	GX	*
2022-23	C	05			Calaveras			No 	RA	22
2022-23	C	05			Calaveras			No 	RB	30
2022-23	C	05			Calaveras			No 	RD	15
2022-23	C	05			Calaveras			No 	RF	13
2022-23	C	05			Calaveras			No 	RH	1256
2022-23	C	05			Calaveras			No 	RI	80
2022-23	C	05			Calaveras			No 	RP	13
2022-23	C	05			Calaveras			No 	RT	310
2022-23	C	05			Calaveras			No 	RW	3549
2022-23	C	05			Calaveras			No 	SD	1032
2022-23	C	05			Calaveras			No 	SE	240
2022-23	C	05			Calaveras			No 	SF	86
2022-23	C	05			Calaveras			No 	SH	272
2022-23	C	05			Calaveras			No 	SS	2893
2022-23	C	05			Calaveras			No 	TA	5288
2022-23	C	05			Calaveras			Yes	GF	248
2022-23	C	05			Calaveras			Yes	GM	241
2022-23	C	05			Calaveras			Yes	RA	*
2022-23	C	05			Calaveras			Yes	RB	*
