name,pct_high_needs,funding_14_15,funding_est_15_16,is_charter
ABC Unified,55,8230,9833,FALSE
Abernathy Collegiate Charter,41,7551,9016,TRUE
Abraxis Charter,91,10135,12565,TRUE
Acacia Elementary Charter,93,9271,11382,TRUE
Acacia Middle Charter,93,8974,10929,TRUE
Academia Avance Charter,89,9543,11940,TRUE
Academia Moderna,99,8969,11219,FALSE
Academic/Vocational Charter Institute,93,10217,12703,TRUE
Academies of the Antelope Valley,48,7716,9222,FALSE
Academy for Academic Excellence,22,7584,9058,TRUE
Academy of Arts and Sciences Fresno,50,8073,9574,TRUE
Academy of Arts and Sciences Los Angeles 9-12,42,9138,10502,TRUE
Academy of Arts and Sciences: Del Mar Elementary (K-5),46,7533,9143,TRUE
Academy of Arts and Sciences: Del Mar Middle & High (6-12),36,8097,9725,TRUE
Academy of Arts and Sciences: El Cajon Elementary (K-5),20,7610,8726,TRUE
Academy of Arts and Sciences: El Cajon Middle and High (6-12),34,8138,9688,TRUE
Academy of Arts and Sciences: Oxnard & Ventura,36,7755,9227,TRUE
Academy of Arts and Sciences: Sonoma,33,7673,9322,TRUE
Academy of Arts and Sciences: Thousand Oaks & Simi Valley,51,8106,9874,TRUE
Academy of Careers and Exploration,53,8769,10577,TRUE
Academy of Personalized Learning,64,8527,10487,TRUE
Academy of Science and Engineering,95,10350,12919,TRUE
Acalanes Union High,6,8254,9807,FALSE
Accelerated,99,9015,11097,FALSE
Accelerated Achievement Academy,80,9089,11243,TRUE
Accelerated Elementary Charter,99,9046,11271,TRUE
ACE Alum Rock,100,9248,10986,FALSE
ACE Charter High,100,10600,13266,TRUE
ACE Empower Academy,96,8829,10980,TRUE
ACE Franklin McKinley,99,9161,10840,FALSE
Achieve Academy,98,8870,11033,TRUE
Achieve Charter School of Paradise Inc.,43,7514,8952,TRUE
Ackerman Elementary,27,7331,8790,FALSE
Acton-Agua Dulce Unified,46,8346,9984,FALSE
Adelante Charter,78,7991,9678,TRUE
Adelanto Elementary,89,8835,11242,FALSE
Alain Leroy Locke College Prep Academy,96,10365,12935,TRUE
Alameda Community Learning Center,23,7723,9263,FALSE
Alameda Unified,39,7989,9548,FALSE
Albany City Unified,33,7720,9315,FALSE
Albert Einstein Academy Charter Middle,55,7434,8938,TRUE
Albert Einstein Academy Elementary,11,7355,8551,TRUE
"Albert Einstein Academy for Letters, Arts and Sciences",6,7762,9231,TRUE
"Albert Einstein Academy of Letters, Arts & Sciences - Agua Dulce Partnership",34,7687,8970,TRUE
Alder Grove Charter,66,8444,10449,TRUE
Alfred B. Nobel Charter Middle,39,7254,8705,TRUE
Alhambra Unified,73,9127,11074,FALSE
Alianza Charter,87,8866,10790,TRUE
Alisal Union,91,9035,11384,FALSE
All Tribes Charter,100,9890,12430,TRUE
All Tribes Elementary Charter,96,8899,11238,TRUE
Allensworth Elementary,100,11348,13697,FALSE
Alliance Alice M. Baxter College-Ready High,89,10514,12797,FALSE
Alliance Cindy and Bill Simon Technology Academy High,99,10321,12995,TRUE
Alliance College-Ready Academy High No. 16,96,10277,12929,TRUE
Alliance College-Ready Academy High No. 5,98,10291,12971,TRUE
Alliance College-Ready Middle Academy No. 12,100,9198,10788,TRUE
Alliance College-Ready Middle Academy No. 4,99,8695,10828,TRUE
Alliance College-Ready Middle Academy No. 5,95,8654,10798,TRUE
Alliance College-Ready Middle Academy No. 7,97,8629,10784,TRUE
Alliance College-Ready Middle Academy No. 8,96,9178,10569,TRUE
Alliance College-Ready Middle Academy No. 9,97,9188,10584,TRUE
Alliance Collins Family College-Ready High,94,10274,12890,FALSE
Alliance Dr. Olga Mohan High,97,10322,12962,FALSE
Alliance Environmental Science and Technology High,88,10154,12783,FALSE
Alliance Gertz-Ressler Richard Merkin 6-12 Complex,97,9651,11938,FALSE
Alliance Health Services Academy High,92,10228,12851,TRUE
Alliance Jack H. Skirball Middle,97,8634,10789,FALSE
Alliance Judy Ivie Burton Technology Academy High,98,10375,12973,TRUE
Alliance Marc & Eva Stern Math and Science,90,10189,12826,FALSE
Alliance Margaret M. Bloomfield Technology Academy High,93,10565,12882,TRUE
Alliance Media Arts and Entertainment Design High,96,10301,12935,FALSE
Alliance Ouchi-O' Donovan 6-12 Complex,97,9673,11990,FALSE
Alliance Renee and Meyer Luskin Academy High,96,10230,12944,TRUE
Alliance Susan and Eric Smidt Technology High,98,10374,12968,FALSE
Alliance Tennenbaum Family Technology High,82,10068,12600,FALSE
Almond Acres Charter Academy,26,7286,8780,TRUE
Alpaugh Unified,97,11155,13608,FALSE
Alpha Charter,58,8728,10789,TRUE
Alpha: Blanca Alvarado Middle,95,8805,10964,FALSE
Alpha: Jose Hernandez Middle,97,8937,10865,FALSE
Alpine Union Elementary,33,7604,9092,FALSE
Alta Loma Elementary,37,7483,9022,FALSE
Alta Vista Community Charter,49,7620,9245,TRUE
Alta Vista Elementary,96,9272,11619,FALSE
Alta Vista Public,89,10278,12941,FALSE
Alta Vista South Public Charter,94,10381,13157,TRUE
Alta-Dutch Flat Union Elementary,42,9496,10393,FALSE
Alternative Cooperative Education Charter,14,7117,8509,TRUE
Alum Rock Union Elementary,89,9365,11517,FALSE
Alview-Dairyland Union Elementary,71,8782,10641,FALSE
Alvina Elementary,82,8909,10753,FALSE
Alvord Unified,83,9142,11483,FALSE
Amador County Unified,46,8106,9867,FALSE
Ambassador Phillip V. Sanchez Public Charter,91,10441,13156,TRUE
America's Finest Charter,96,8324,10267,TRUE
American Indian Public Charter,83,8293,10319,TRUE
American Indian Public Charter School II,78,8360,10409,TRUE
American Indian Public High,75,9729,12149,FALSE
American River Charter,41,7623,9243,TRUE
Anaheim Elementary,91,9097,11446,FALSE
Anaheim Union High,75,9494,11554,FALSE
Anahuacalmecac International University Preparatory High,89,10163,12805,FALSE
Anderson New Technology High,47,8772,10613,FALSE
Anderson Union High,53,9386,11055,FALSE
Anderson Valley Unified,84,10474,12457,FALSE
Animo Avalon Charter Middle,100,9214,10629,TRUE
Animo Charter Middle No. 1,97,9185,10579,TRUE
Animo Charter Middle No. 2,99,9207,10805,TRUE
Animo Charter Middle No. 3,95,8681,10761,TRUE
Animo Charter Middle No. 4,94,8650,10744,TRUE
Animo College Preparatory Academy,98,10376,12967,TRUE
Animo Inglewood Charter High,91,10423,13099,TRUE
Animo Jackie Robinson High,98,10390,12977,FALSE
Animo Jefferson Charter Middle,99,8742,10821,TRUE
Animo Leadership High,93,10602,13335,FALSE
Animo Pat Brown,98,10375,12975,FALSE
Animo Ralph Bunche High,99,10432,12984,FALSE
Animo South Los Angeles Charter,92,10272,12865,TRUE
Animo Venice Charter High,86,10203,12739,TRUE
Animo Watts College Preparatory Academy,97,10385,12948,TRUE
Animo Westside Charter Middle,76,8176,10140,TRUE
Antelope Elementary,57,8391,9533,FALSE
Antelope Valley Learning Academy,87,10005,12687,TRUE
Antelope Valley Union High,65,9381,11477,FALSE
Antelope View Charter,45,8827,10558,TRUE
Antioch Charter Academy,28,7398,8761,TRUE
Antioch Charter Academy II,40,7526,8959,TRUE
Antioch Unified,70,8627,10710,FALSE
APEX Academy,97,10032,12426,TRUE
Apple Academy Charter Public,79,8602,10685,TRUE
Apple Valley Unified,67,8514,10528,FALSE
Aptitud Community Academy at Goss,97,9457,11336,TRUE
Ararat Charter,87,8802,10990,TRUE
Arcadia Unified,29,7717,9362,FALSE
Arcata Elementary,61,8119,9780,FALSE
