Rank,Name,Type,High-Needs %,Funding 14-15,Est. 15-16
Top 1,Big Sur Unified,District,85%,"$52,922","$61,961"
Top 2,Maple Creek Elementary,District,80%,"$28,367","$30,974"
Top 3,Death Valley Unified,District,60%,"$27,148","$30,882"
Top 4,Panoche Elementary,District,80%,"$26,690","$30,883"
Top 5,Green Point Elementary,District,75%,"$22,007","$24,786"
Top 6,Blake Elementary,District,100%,"$21,316","$25,532"
Top 7,Ravendale-Termo Elementary,District,68%,"$21,288","$23,322"
Top 8,Klamath River Union Elementary,District,95%,"$19,887","$21,884"
Top 9,Feather Falls Union Elementary,District,82%,"$19,181","$21,312"
Top 10,Southern Trinity Joint Unified,District,80%,"$18,822","$21,395"
Bottom 1,Santa Rosa Accelerated Charter,Charter,6%,"$ 6,842","$ 8,016"
Bottom 2,Tierra Linda Middle,District,11%,"$ 6,908","$ 8,198"
Bottom 3,Orinda Union Elementary,District,1%,"$ 6,987","$ 8,292"
Bottom 4,Folsom Cordova K-8 Community Charter,Charter,9%,"$ 6,994","$ 8,377"
Bottom 5,Mill Valley Elementary,District,7%,"$ 6,999","$ 8,395"
Bottom 6,Moraga Elementary,District,4%,"$ 7,019","$ 8,336"
Bottom 7,Novato Charter,Charter,3%,"$ 7,021","$ 8,356"
Bottom 8,Canyon Elementary,District,4%,"$ 7,024","$ 8,447"
Bottom 9,Hermosa Beach City Elementary,District,4%,"$ 7,030","$ 8,337"
Bottom 10,Hillcrest Middle,District,17%,"$ 7,031","$ 8,373"
