school_year,county_name,district_name,district_type,total_funded_ada,upc_percentage,lcff_per_ada,supp_conc_per_ada,spending_per_ada,ela_current_distance_from_standard,math_current_distance_from_standard,graduation_rate,dropout_rate,priority_reason
2024_25,Shasta,Oak Run Elementary,Elementary,38.16,96.15384615384616,20075.75995807128,4360.167714884696,80088.66666666667,-195.1,-217.9,NA,NA,Low ELA and low math
2024_25,Tehama,Gerber Union Elementary,Elementary,381.83,87.34177215189874,15383.435036534584,4097.661262865673,21380.044558925067,-107,-139.2,NA,NA,Low ELA and low math
2024_25,Mendocino,Round Valley Unified,Unified,408.16,90.82774049217002,16748.27518620149,4238.710309682478,27935.639066091582,-106.6,-149.5,77.1,22.9,Low ELA and low math
2024_25,San Mateo,Ravenswood City Elementary,Elementary,1329.92,93.18497913769124,15469.407182386907,4435.026918912416,40954.3131692097,-105.4,-132.1,NA,NA,Low ELA and low math
2024_25,Tulare,Allensworth Elementary,Elementary,105.63,99.15254237288136,16546.35046861687,4706.49436713055,19564.334028633737,-100.6,-143.4,NA,NA,Low ELA and low math
2024_25,Humboldt,Loleta Union Elementary,Elementary,84.76,89.02439024390245,15557.137800849456,4425.932043416706,33585.9434271252,-100.2,-133.5,NA,NA,Low ELA and low math
2024_25,San Bernardino,Oro Grande,Elementary,91.94,93.10344827586206,15921.677180770066,4724.320208831847,137938.81306171356,-95.1,-126.5,79.6,19.5,Low ELA and low math
2024_25,Lake,Upper Lake Unified,Unified,872.01,83.27974276527331,15722.86212314079,4042.130250799876,24412.21157964876,-88.7,-118.4,92.1,6.7,Low ELA and low math
2024_25,Kern,Mojave Unified,Unified,2602.8500000000004,86.43250688705234,16036.373974681595,4441.1268417311785,23394.855348089925,-88.6,-136.6,77.4,17.6,Low ELA and low math
2024_25,Tulare,Pleasant View Elementary,Elementary,430.92,93.76391982182628,15710.452056066091,4618.021906618398,21149.239801594653,-88.6,-113.3,NA,NA,Low ELA and low math
2024_25,Tulare,Alpaugh Unified,Unified,341.42999999999995,88.1159420289855,16274.996338927454,4291.635181442756,22552.54171953356,-88.2,-140.7,79.6,19,Low ELA and low math
2024_25,Lake,Konocti Unified,Unified,3458.96,84.79678876066232,15620.735712468488,4193.977669588547,21029.392345053227,-88,-133.7,84.6,11.2,Low ELA and low math
2024_25,Monterey,San Ardo Union Elementary,Elementary,82.51,98.6842105263158,18484.838201430128,4718.3735304811535,36300.831219371576,-87.5,-117.4,NA,NA,Low ELA and low math
2024_25,Nevada,Twin Ridges Elementary,Elementary,90.86,84.76190476190476,15405.513977547876,3815.925599823905,28381.637027736564,-87.3,-125.5,NA,NA,Low ELA and low math
2024_25,San Bernardino,Baker Valley Unified,Unified,129.86,89.6,20172.285538271983,4145.910981056522,35606.370213889626,-84,-111.3,NA,NA,Low ELA and low math
2024_25,Los Angeles,Wilsona Elementary,Elementary,1149.88,94.0204563335956,16015.10592409643,4876.30622325808,24558.35349990397,-83.4,-112.2,NA,NA,Low ELA and low math
2024_25,Kings,Reef-Sunset Unified,Unified,2553.68,96.69545625234696,16494.73935653645,5166.852150621848,21924.15593154775,-83.3,-124.1,92.5,5.7,Low ELA and low math
2024_25,Tulare,Alta Vista Elementary,Elementary,507.28,94.1509433962264,15461.45915470746,4635.3118593281815,18814.7324998514,-80.3,-118.8,90.6,3.8,Low ELA and low math
2024_25,Santa Clara,Campbell Union,Elementary,428.23,88,17584.538682483715,4343.254792985079,22040.66562072338,-79.4,-89,NA,NA,Low ELA and low math
2024_25,Fresno,West Park Elementary,Elementary,282.67,87.76223776223776,15267.559344819048,4049.5595570806945,25292.807344025787,-77.8,-98.1,0,81.8,Low ELA and low math
2024_25,Fresno,Burrel Union Elementary,Elementary,112.64,93.5483870967742,16014.16903409091,4501.890980113636,27415.33913315274,-74.8,-63.5,NA,NA,Low ELA
2024_25,Los Angeles,Eastside Union Elementary,Elementary,2766.58,91.02902374670184,15495.641550217237,4482.655842231203,23027.9198882987,-74.7,-104.2,NA,NA,Low ELA and low math
2024_25,Tulare,Stone Corral Elementary,Elementary,110.09,100,16056.599146153148,5074.44817876283,28351.390682656824,-74.6,-124.9,27,16.1,Low ELA and low math
2024_25,Tulare,Sunnyside Union Elementary,Elementary,305.58,91.63987138263666,15824.752928856602,4553.383729301656,23288.291782439577,-74.5,-111,NA,NA,Low ELA and low math
2024_25,Kern,Di Giorgio Elementary,Elementary,232.53,100,16317.253687696211,5241.938674579624,21326.9537324006,-74.4,-109.6,NA,NA,Low ELA and low math
2024_25,Fresno,Coalinga-Huron Unified,Unified,4086.1,86.85701336958985,15825.880668608208,4389.461344558381,23083.825591181092,-73.3,-107.7,91,8.4,Low ELA and low math
2024_25,Los Angeles,Keppel Union Elementary,Elementary,2372.42,90.5431809300508,15529.50531524772,4377.559622663778,20897.499059687743,-73.1,-98.6,100,0,Low ELA and low math
2024_25,Tulare,Richgrove Elementary,Elementary,486.58,96.85534591194968,20659.712688560976,4949.29919026676,27182.0050015222,-73,-99.2,NA,NA,Low ELA and low math
2024_25,Merced,Dos Palos Oro Loma Joint Unified,Unified,2130.79,89.92901508429459,16362.029106575495,4568.764636590185,19633.557643011332,-72.3,-105.3,96.7,2.7,Low ELA and low math
2024_25,Siskiyou,Dunsmuir Elementary,Elementary,74.92,83.07692307692308,16073.972237052856,3861.852642819006,35236.23051496173,-72.2,-121.9,NA,NA,Low ELA and low math
2024_25,Tulare,Ducor Union Elementary,Elementary,145.73999999999998,87.5,15108.144641141762,3758.515163990669,24560.633606877684,-72,-107.4,NA,NA,Low ELA and low math
2024_25,Fresno,Parlier Unified,Unified,3032.26,96.53774173424829,16496.64078937822,5101.464584171543,24145.98997764969,-71.7,-114,93.5,2.6,Low ELA and low math
2024_25,Kern,Standard Elementary,Elementary,2916.23,90.36711641041732,15285.966813317194,4385.285454165138,19706.05260868965,-70.2,-101.2,NA,NA,Low ELA and low math
2024_25,Modoc,Tulelake Basin Joint Unified,Unified,435.76,84.75991649269311,16570.596199742977,3965.5131264916463,21348.27257871479,-68.4,-110.2,97.1,0,Low ELA and low math
